gene_id	ssc_liver_1	ssc_liver_10	ssc_liver_2	ssc_liver_3	ssc_liver_4	ssc_liver_5	ssc_liver_6	ssc_liver_7	ssc_liver_8	ssc_liver_9	ssc_muscle_1	ssc_muscle_2	ssc_muscle_3	ssc_muscle_4	ssc_testis_1	ssc_testis_10	ssc_testis_2	ssc_testis_3	ssc_testis_4	ssc_testis_5	ssc_testis_6	ssc_testis_7	ssc_testis_8	ssc_testis_9
ENSSSCG00000000003	2.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	6.0	2.0	0.0	1.0	7.0	0.0	0.0	2.0
ENSSSCG00000000006	13.0	1.0	10.0	39.0	33.0	2.0	1.0	0.0	6.0	1.0	0.0	0.0	0.0	1.0	12.0	0.0	3.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0
ENSSSCG00000000007	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0
ENSSSCG00000000010	13.0	0.0	6.0	0.0	9.0	0.0	0.0	4.0	5.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
ENSSSCG00000000029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	1.0	5.0	3.0	2.0	1.0	2.0	2.0	5.0	0.0
ENSSSCG00000000035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	11.0	7.0	5.0	2.0	6.0	12.0	0.0	3.0
ENSSSCG00000000037	30.0	4.0	20.0	0.0	58.0	7.0	5.0	2.0	2.0	0.0	0.0	0.0	2.0	0.0	218.0	0.0	27.0	49.0	35.0	27.0	29.0	19.0	2.0	3.0
ENSSSCG00000000039	42.0	0.0	15.0	0.0	0.0	6.0	7.0	13.0	0.0	8.0	0.0	0.0	0.0	1.0	38.0	5.0	8.0	0.0	7.0	5.0	3.0	13.0	11.0	7.0
ENSSSCG00000000064	6.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	7.0	5.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSSSCG00000000068	15.0	2.0	7.0	58.0	0.0	5.0	0.0	4.0	0.0	5.0	0.0	2.0	0.0	8.0	98.0	14.0	47.0	27.0	25.0	21.0	22.0	24.0	17.0	13.0
