gene_id	ssc_liver_1	ssc_liver_2	ssc_liver_3	ssc_liver_4	ssc_liver_5	ssc_liver_6	ssc_liver_7	ssc_liver_8	ssc_liver_9	ssc_liver_10	ssc_muscle_1	ssc_muscle_2	ssc_muscle_3	ssc_muscle_4	ssc_testis_1	ssc_testis_2	ssc_testis_3	ssc_testis_4	ssc_testis_5	ssc_testis_6	ssc_testis_7	ssc_testis_8	ssc_testis_9	ssc_testis_10
ENSSSCG00000000002	4.0	6.0	0.0	0.0	17.0	13.0	55.0	11.0	17.0	3.0	0.0	0.0	6.0	3.0	79.0	262.0	358.0	283.0	318.0	318.0	253.0	284.0	270.0	100.0
ENSSSCG00000000003	3874.59	1367.0	1198.0	2154.0	1372.0	979.0	1521.0	1517.0	1588.0	858.0	27.0	18.0	120.0	171.0	192.0	584.0	811.0	481.0	626.0	703.0	446.0	1059.0	698.0	1020.0
ENSSSCG00000000005	2570.0	566.0	1056.0	1974.0	966.4	959.0	1155.0	781.76	852.0	627.0	63.0	212.0	622.0	671.0	98.0	309.0	269.0	262.0	227.0	246.98	273.0	457.03	273.0	471.0
ENSSSCG00000000006	4069.03	911.0	2325.0	4108.0	2490.97	2352.0	2967.0	2412.0	2437.0	1842.0	176.0	333.0	1178.0	1365.85	166.0	226.0	222.0	277.0	285.0	299.0	280.0	859.01	565.0	1040.01
ENSSSCG00000000007	109.78	151.86	41.0	226.74	166.36	190.51	221.22	92.66	128.45	121.21	14.0	17.0	145.84	123.43	117.63	343.56	396.02	347.14	253.54	290.2	307.79	512.17	539.98	335.01
ENSSSCG00000000010	2398.0	661.0	877.0	508.0	3142.0	2450.0	2740.03	2942.0	2216.0	1671.0	33.0	39.0	34.0	186.0	455.0	753.0	837.0	730.0	964.0	1230.0	841.0	663.0	257.0	637.0
ENSSSCG00000000014	64.53	149.93	46.0	75.0	110.58	162.88	137.96	97.91	102.37	92.03	45.48	78.07	248.48	257.31	402.39	1694.34	1657.84	1138.07	1006.57	1364.38	1513.02	1612.49	1850.54	555.66
ENSSSCG00000000018	517.69	513.29	260.0	141.0	412.63	476.94	526.28	373.15	448.08	338.82	89.76	162.5	822.84	578.95	2139.26	10021.08	12040.59	9979.55	4658.49	3759.0	8482.35	15415.3	19722.72	8405.97
ENSSSCG00000000019	1125.31	1733.71	1021.0	1264.0	841.37	802.05	1203.72	1046.82	1144.92	628.18	225.24	595.5	1192.16	1153.05	3115.74	22312.93	20910.46	18310.27	12189.51	13922.37	16732.38	7799.92	9031.17	4091.03
ENSSSCG00000000020	16.0	20.0	0.0	0.0	35.0	7.0	33.0	6.0	10.0	2.0	3.0	6.0	39.0	28.0	20.0	101.0	174.0	187.0	205.0	120.0	172.0	378.02	392.99	175.0
ENSSSCG00000000021	115.0	190.0	5.0	20.0	72.0	38.0	121.0	38.0	70.0	13.0	0.0	0.0	1.0	1.0	75.0	291.0	318.0	275.0	174.0	231.0	181.0	275.0	538.0	79.0
ENSSSCG00000000022	82.0	101.0	28.0	53.0	166.0	75.0	299.0	121.0	155.0	32.0	18.0	21.0	337.84	140.0	430.0	940.0	1749.0	1472.0	1224.0	1364.0	1317.0	3123.0	2856.0	2755.0
ENSSSCG00000000024	25.0	73.0	26.0	2.0	104.0	21.0	158.0	88.0	119.0	10.0	23.0	99.0	647.0	527.0	30.0	103.0	127.0	67.0	142.0	113.0	83.0	157.0	159.0	119.0
ENSSSCG00000000025	167.0	153.0	88.0	170.0	54.0	67.0	112.0	51.0	46.0	29.0	0.0	4.0	12.0	17.0	44.0	117.0	84.0	97.0	78.0	62.0	76.0	32.0	63.0	57.0
ENSSSCG00000000026	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	7.0	1.0	234.0	898.0	831.0	554.0	606.0	804.0	693.0	617.0	538.91	194.0
ENSSSCG00000000028	0.0	0.0	0.0	0.0	4.0	3.0	1.0	1.0	3.0	0.0	2.0	1.0	6.0	1.0	230.0	1488.0	1970.0	1380.0	914.0	1155.0	1181.0	928.0	1600.13	258.0
ENSSSCG00000000029	5.0	2.0	5.0	0.0	66.0	11.0	42.0	26.0	21.0	7.0	6.0	0.0	7.0	10.0	128.0	207.0	228.0	252.0	349.0	196.0	322.0	1218.0	997.0	1691.0
ENSSSCG00000000031	182.0	130.0	274.0	192.0	131.0	148.0	158.01	99.0	153.0	106.0	29.0	19.0	114.0	93.0	184.0	631.0	637.0	418.0	338.0	478.0	483.0	595.0	539.0	406.0
ENSSSCG00000000033	62.0	113.0	0.0	7.0	22.0	25.0	43.0	40.0	28.0	26.0	9.0	5.0	40.0	46.0	100.0	193.0	154.0	98.0	119.0	131.0	81.0	164.0	207.0	456.0
ENSSSCG00000000034	999.98	460.0	383.0	309.0	1299.0	1323.0	1720.0	1180.0	1588.06	1029.99	121.0	124.0	1010.0	699.0	232.0	848.0	1447.67	1036.97	1198.0	1006.0	1013.99	2365.0	1310.0	1497.0
ENSSSCG00000000035	22.0	6.0	0.0	1.0	38.0	22.0	41.0	38.0	79.0	49.0	17.0	29.0	62.0	95.0	930.0	3590.99	4468.31	2777.0	2213.0	2689.75	2684.0	1440.0	1921.0	487.0
ENSSSCG00000000036	485.0	1127.0	394.0	463.0	456.0	404.0	607.0	292.99	298.0	182.0	24.0	100.0	422.0	322.0	506.0	2604.0	3538.05	2648.0	2174.09	2207.92	3099.0	3608.0	4597.0	2059.0
ENSSSCG00000000037	1291.0	666.0	782.0	1252.0	1071.0	1213.0	1443.0	989.0	991.0	755.0	66.0	186.0	357.0	465.0	1441.0	4881.0	7092.0	3808.0	2794.0	3524.0	3926.0	2391.46	2176.0	1945.0
ENSSSCG00000000038	2348.25	636.34	484.0	461.0	3890.79	4135.4	3486.63	2821.85	1996.02	2046.24	65.52	83.9	520.08	549.06	2158.31	7413.15	10873.79	6580.89	6377.18	9284.16	6566.36	11650.18	7510.62	16383.29
ENSSSCG00000000039	1338.75	1112.66	1285.0	922.0	925.21	898.6	1206.37	833.91	916.98	619.76	112.48	267.1	815.92	711.94	1995.69	9276.84	8900.21	6381.11	6622.49	8096.85	6902.59	7057.77	5568.29	3672.22
ENSSSCG00000000040	0.0	9.02	4.0	25.0	19.05	21.42	10.27	2.1	1.21	8.75	3.0	25.03	41.26	20.14	524.27	2570.93	2544.49	2178.48	847.89	575.76	1523.67	2692.89	3629.07	937.79
ENSSSCG00000000045	307.0	397.0	497.0	388.0	243.0	267.0	273.0	104.0	106.0	84.0	205.0	576.0	853.0	1079.0	457.33	756.0	775.0	485.0	571.0	550.0	660.0	957.0	432.0	652.0
ENSSSCG00000000046	71048.0	51326.0	30321.0	36198.0	84600.31	59588.6	51408.0	52721.61	34952.85	29898.48	149.0	50.0	30.0	4351.1	230.0	484.0	535.0	362.0	534.0	221.0	353.0	1788.0	1077.0	309.0
ENSSSCG00000000050	761.0	502.2	430.0	316.0	446.86	419.76	547.91	314.07	351.52	219.22	21.03	45.11	201.91	258.84	348.84	834.22	1172.92	807.54	767.02	1013.28	801.02	2627.73	1252.63	2554.1
ENSSSCG00000000057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	2.0	7.0	0.0	280.0	297.0	516.0	364.0	144.0	90.0	440.0	984.0	1876.0	216.0
ENSSSCG00000000058	800.0	788.0	374.0	393.0	312.0	227.0	446.0	312.68	348.91	177.75	343.34	916.0	1509.81	1834.96	3704.91	9380.86	7083.7	5756.91	5371.73	6439.88	4857.13	2347.26	2389.75	1666.0
ENSSSCG00000000059	615.0	259.0	423.0	494.0	248.0	255.0	380.0	255.0	366.0	218.0	62.0	252.0	453.0	693.0	399.0	2600.0	2619.0	1984.0	1630.0	1789.0	2004.0	1362.0	2111.0	886.0
ENSSSCG00000000061	126.0	354.0	794.0	575.0	52.0	18.0	63.0	37.0	60.0	14.0	0.0	12.0	45.0	49.0	139.0	403.0	600.0	451.0	366.0	287.0	538.0	744.0	935.0	450.0
ENSSSCG00000000062	25.0	12.0	1.0	0.0	6.0	2.0	18.0	2.0	3.0	1.0	0.0	4.0	15.0	11.0	213.0	1033.24	1836.66	1172.91	1580.21	2026.98	1829.53	2961.09	1420.57	3461.56
ENSSSCG00000000063	233.0	446.98	94.0	178.0	239.0	207.0	298.0	121.0	217.0	100.01	22.0	38.0	259.0	244.0	189.0	591.07	591.23	449.9	545.54	540.71	781.08	1449.0	1153.0	1114.0
ENSSSCG00000000064	2326.0	2339.0	1209.0	759.0	2839.0	2797.0	2963.57	2545.99	2354.03	2017.99	2183.0	5697.0	36506.0	20416.0	1750.0	7362.93	7817.77	5364.99	5379.46	7114.29	6035.91	11486.01	7288.0	10674.0
ENSSSCG00000000066	242.0	308.0	142.0	100.0	219.0	254.0	300.0	148.0	186.0	113.0	23.0	65.0	341.0	248.0	490.0	2062.0	2569.0	1765.24	1152.0	1563.0	1925.0	3457.0	3635.0	1685.0
