circRNA	cow-liver-K024	cow-testis-adult-1	cow-liver-K001	cow-testis-adult-2	cow-liver-B005	cow-testis-neonat-2	cow-testis-neonat-1	cow-liver-K018	cow-liver-B028	cow-testis-neonat-3	cow-testis-adult-3	cow-liver-K006	cow-liver-K011	cow-liver-B008	cow-liver-B022	cow-liver-K013	cow-liver-B004	cow-liver-B027
10:100125353-100134060:+	8	14	13	16	0	16	11	8	7	15	26	6	7	0	0	11	9	0
10:100133932-100149042:+	0	6	0	14	0	14	36	0	0	19	0	0	0	0	0	0	0	0
10:100144291-100149042:+	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
10:100242504-100242882:-	0	0	0	0	0	18	16	0	0	9	0	0	0	0	0	0	0	0
10:1002479-1006011:-	0	0	0	0	0	0	11	0	0	7	0	0	0	0	0	0	0	0
10:100263972-100270938:+	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:100334116-100343371:-	0	7	0	8	0	6	6	0	0	14	7	0	0	0	0	0	0	0
10:100342335-100343371:-	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:100342335-100381292:-	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:100348942-100361665:-	0	11	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
10:100348942-100365495:-	0	7	0	0	0	0	9	0	0	8	0	0	0	0	0	0	0	0
10:100361523-100384844:-	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
10:10075612-10128008:-	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
10:100857511-101090112:-	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
10:100961026-101090112:-	34	0	6	0	20	14	15	17	7	19	0	7	20	13	11	44	12	12
10:10100682-10133104:-	33	0	27	0	13	0	0	15	37	0	0	21	39	17	32	24	21	23
10:10107523-10133104:-	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
10:101089555-101090112:-	0	0	0	0	0	6	9	0	0	0	0	0	0	0	0	0	0	0
10:102249593-102267488:-	0	0	0	0	0	0	11	7	10	9	0	0	8	0	0	6	0	0
10:1024544-1031793:-	6	0	0	14	0	51	45	15	11	33	15	6	12	12	8	22	10	15
10:102521000-102562399:-	0	0	0	6	0	6	7	0	0	0	6	0	0	0	0	0	0	0
10:102559386-102562399:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
10:102559386-102609979:-	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
10:103020811-103023665:-	0	0	0	9	0	6	0	0	0	0	6	0	0	0	0	0	0	0
10:103045333-103048492:-	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:10348947-10357470:+	0	0	0	0	0	6	11	0	0	0	0	0	0	0	0	0	0	0
10:10348947-10365595:+	0	0	0	12	0	0	6	0	0	0	8	0	0	0	0	0	0	0
10:10356623-10357470:+	0	0	0	28	0	8	21	0	0	9	12	0	0	0	0	0	0	0
10:10431476-10436315:-	7	0	0	0	0	12	9	0	8	13	0	0	0	0	6	0	0	0
10:10431476-10499191:-	0	0	0	12	0	28	79	0	0	36	8	0	0	0	0	0	0	0
10:10480143-10499191:-	29	70	16	67	16	119	187	30	25	138	72	19	22	9	19	15	26	23
10:10488329-10499191:-	0	0	0	0	0	9	26	0	0	9	7	0	0	0	0	0	0	0
