circRNA	cow-liver-K024	cow-testis-adult-1	cow-liver-K001	pig-testis-Testis-31	pig-testis-Testis-73	cow-testis-adult-2	pig-liver-old-1	pig-liver-young-1	pig-testis-Testis-91	cow-liver-B005	pig-testis-Testis-54	cow-testis-neonat-2	cow-testis-neonat-1	cow-liver-K018	cow-liver-B028	cow-testis-neonat-3	pig-liver-old-2	cow-testis-adult-3	pig-testis-Testis-05	pig-testis-Testis-65	cow-liver-K006	cow-liver-K011	cow-liver-B008	pig-testis-Testis-16	cow-liver-B022	cow-liver-K013	cow-liver-B004	pig-liver-young-2	cow-liver-B027
10:100125353-100134060:+	8	14	13	0	0	16	0	0	0	0	0	16	11	8	7	15	0	26	0	0	6	7	0	0	0	11	9	0	0
10:100133932-100149042:+	0	6	0	0	0	14	0	0	0	0	0	14	36	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
10:100144291-100149042:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
10:100242504-100242882:-	0	0	0	0	0	0	0	0	0	0	0	18	16	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
10:1002479-1006011:-	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
10:100263972-100270938:+	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:100334116-100343371:-	0	7	0	0	0	8	0	0	0	0	0	6	6	0	0	14	0	7	0	0	0	0	0	0	0	0	0	0	0
10:100342335-100343371:-	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:100342335-100381292:-	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:100348942-100361665:-	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
10:100348942-100365495:-	0	7	0	0	0	0	0	0	0	0	0	0	9	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
10:100361523-100384844:-	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:10038503-10073030:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
10:10075612-10128008:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
10:100857511-101090112:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
10:100961026-101090112:-	34	0	6	0	0	0	0	0	0	20	0	14	15	17	7	19	0	0	0	0	7	20	13	0	11	44	12	0	12
10:10100682-10133104:-	33	0	27	0	0	0	0	0	0	13	0	0	0	15	37	0	0	0	0	0	21	39	17	0	32	24	21	0	23
10:10107523-10133104:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:101089555-101090112:-	0	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:10163984-10170555:+	0	0	0	8	0	0	8	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:10169064-10170555:+	0	0	0	12	0	0	10	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
10:10194715-10207599:+	0	0	0	0	0	0	25	26	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
