circRNA	pig-testis-Testis-31	pig-testis-Testis-73	pig-liver-old-1	pig-liver-young-1	pig-testis-Testis-91	pig-testis-Testis-54	pig-liver-old-2	pig-testis-Testis-05	pig-testis-Testis-65	pig-testis-Testis-16	pig-liver-young-2
10:10038503-10073030:+	0	0	0	0	0	0	0	0	0	7	0
10:10163984-10170555:+	8	0	8	18	0	0	0	0	0	0	0
10:10169064-10170555:+	12	0	10	0	0	0	6	0	0	0	0
10:10194715-10207599:+	0	0	25	26	0	0	13	0	0	0	0
10:10201830-10207599:+	0	0	10	0	0	0	8	0	0	0	0
10:10901929-10902783:-	10	0	0	0	0	0	0	0	0	0	0
10:11344910-11346876:-	0	0	0	10	0	0	0	0	0	0	0
10:11446255-11451376:-	11	0	0	0	0	0	0	0	0	0	0
10:11446255-11459646:-	16	0	0	0	9	6	0	12	7	6	0
10:11469820-11472476:+	9	0	0	13	0	0	0	0	0	0	0
10:11654268-11654794:+	0	0	0	0	0	0	10	0	0	0	0
10:11693302-11694808:+	18	8	0	0	6	0	14	11	7	0	0
10:11786018-11797794:-	10	0	0	0	0	0	0	0	0	0	0
10:12407368-12417836:-	6	0	0	0	0	0	0	0	0	0	0
10:12471547-12477393:+	0	0	0	10	0	0	0	0	0	0	0
10:12514888-12517071:-	7	0	0	0	0	0	0	0	0	0	0
10:12595561-12602812:-	10	0	0	0	0	0	0	0	0	0	0
10:12624648-12652349:-	9	0	0	0	0	0	0	0	0	0	0
10:12637343-12654451:-	6	0	0	0	0	0	0	0	0	0	0
10:12643794-12647330:-	11	0	0	0	0	0	0	0	0	0	0
10:12654333-12657277:-	18	0	0	0	0	0	0	0	0	0	0
10:12738032-12744135:-	12	0	0	0	0	0	0	0	0	0	0
10:13072131-13089649:+	14	0	0	0	0	0	0	0	0	0	0
10:13395615-13399198:-	7	0	0	0	0	0	0	0	0	0	0
10:13405790-13406459:-	7	0	0	0	0	0	0	0	0	0	0
10:13410178-13411123:-	18	0	0	0	0	0	0	9	0	0	0
10:13491754-13527498:-	56	24	0	0	14	11	0	23	11	7	0
10:13782210-13785985:-	0	0	0	0	0	0	6	0	0	0	0
10:14049497-14050397:-	8	0	0	0	0	0	0	0	0	0	0
10:14136880-14145886:-	14	0	0	0	0	0	0	0	0	0	0
10:14217433-14218735:-	15	6	0	0	12	0	0	0	0	0	0
10:14774819-14794270:-	0	0	0	0	0	0	7	0	0	0	0
10:14786193-14794270:-	50	6	0	0	0	6	0	11	9	9	0
10:14826466-14850824:-	14	0	0	0	0	0	0	0	0	0	0
10:14826466-14884976:-	25	0	0	0	6	7	0	12	0	8	0
10:15051105-15053287:+	113	22	0	0	19	14	0	25	10	21	0
10:15051105-15056946:+	40	10	0	16	7	8	0	0	0	6	0
10:15051105-15063364:+	30	13	0	0	6	11	0	17	11	7	0
10:15056765-15063364:+	7	0	0	0	0	0	0	0	0	0	0
10:15061268-15063364:+	8	0	0	0	0	0	0	0	0	0	0
10:15061268-15070732:+	6	0	0	0	0	0	0	0	0	0	0
10:15063247-15066662:+	6	0	0	0	0	0	0	0	0	0	0
10:15068986-15070732:+	7	0	0	0	0	0	0	0	0	0	0
10:15076107-15081536:+	6	0	0	0	0	0	0	0	0	0	0
10:15083384-15085471:+	11	0	0	0	0	0	0	0	0	0	0
10:15093186-15095653:+	7	0	0	0	0	0	0	0	0	0	0
10:15095067-15095653:+	8	0	0	0	0	0	0	0	0	0	0
10:15494693-15535937:-	8	0	0	0	0	0	0	0	0	0	0
10:16099024-16104580:-	0	9	0	0	6	11	0	8	6	10	0
10:16099024-16117793:-	0	0	0	0	0	13	0	16	6	0	0
10:16201081-16216636:+	14	0	0	0	0	9	0	0	0	6	17
10:16222140-16239910:+	8	0	0	0	0	6	0	0	0	0	0
10:16271611-16274729:+	8	0	0	0	0	0	0	0	0	0	0
10:16345991-16348572:+	18	7	0	0	0	0	0	0	0	7	0
10:16345991-16359066:+	6	0	0	10	0	0	0	7	0	0	0
10:16460133-16499371:-	7	0	0	0	0	0	0	0	0	0	0
10:16460133-16510634:-	8	0	0	0	0	0	0	6	0	0	0
10:16460133-16522506:-	19	0	0	0	7	6	0	0	0	0	0
10:16490535-16522506:-	19	0	0	0	7	0	0	12	0	6	0
10:16490535-16607933:-	6	15	0	0	7	10	0	14	9	12	0
10:16499156-16522506:-	57	7	0	0	0	0	0	7	0	20	0
10:16499156-16607933:-	0	10	0	0	10	0	0	11	0	8	0
10:16510505-16543241:-	6	0	0	0	0	0	0	0	0	0	0
10:16510505-16607933:-	56	17	0	0	43	37	0	48	19	31	0
10:16510505-16730354:-	0	10	0	0	7	13	0	10	6	8	0
10:16522383-16569899:-	0	0	0	0	0	0	0	6	0	0	0
10:16522383-16607933:-	53	17	0	0	17	22	0	43	9	17	0
10:16522383-16730354:-	12	8	0	0	8	16	0	6	0	0	0
10:16541737-16607933:-	57	25	0	0	29	18	0	31	9	18	0
10:16541737-16730354:-	0	0	0	0	0	0	0	6	0	0	0
10:16560320-16607933:-	89	38	0	0	35	30	0	40	14	38	0
10:16560320-16730354:-	0	6	0	0	0	0	0	0	0	0	0
10:16569754-16607933:-	51	22	0	0	26	28	0	33	9	20	0
10:16569754-16730354:-	12	9	0	0	0	9	0	0	6	0	0
10:16585539-16730354:-	14	12	0	0	0	0	0	7	0	0	0
10:17229218-17247667:-	0	0	0	10	0	0	0	0	0	0	0
10:17310053-17347866:+	0	0	0	0	0	6	0	0	0	0	0
10:17315507-17347866:+	43	0	0	0	17	23	0	20	0	18	0
10:17339107-17347866:+	0	0	0	0	0	0	0	6	0	0	0
10:17400003-17402014:+	11	0	0	0	0	0	0	0	0	0	0
10:17489226-17491728:-	10	0	0	0	0	0	0	0	0	0	0
10:18449412-18463778:-	0	0	0	0	0	0	0	7	0	0	0
10:18461764-18463778:-	7	0	0	0	0	0	0	0	0	0	0
10:18829548-18834841:-	7	0	0	0	0	0	0	0	0	0	0
10:18829548-18861533:-	7	0	0	0	0	0	0	0	0	0	0
10:19074730-19075159:+	21	0	0	0	0	6	0	8	8	0	0
10:19098553-19109001:+	52	6	0	0	9	12	0	11	9	8	0
10:19949147-19952852:+	11	0	0	0	0	0	0	0	0	0	0
10:19980835-19983593:-	9	0	0	0	0	0	0	6	0	0	0
10:20060943-20073030:-	6	0	0	0	6	11	0	6	0	0	25
10:20060943-20078273:-	20	0	0	0	0	9	0	13	6	0	0
10:20065004-20073030:-	23	0	0	0	6	16	0	10	7	0	0
10:20065004-20078273:-	10	7	0	0	11	13	0	6	0	9	0
10:20178562-20179144:+	19	0	0	0	0	0	0	0	0	0	0
10:20423358-20429869:-	6	0	0	0	0	0	0	0	0	0	0
10:20423358-20438201:-	27	6	0	0	8	0	0	10	0	0	0
10:20423358-20455885:-	15	0	0	6	0	11	0	0	0	0	0
10:20423358-20481282:-	9	0	0	0	0	0	0	7	0	0	0
10:20423358-20487072:-	10	0	0	0	0	0	0	6	0	0	0
10:20423358-20492105:-	16	0	0	13	0	17	7	13	12	0	0
10:20428974-20492105:-	6	0	0	0	0	0	0	0	0	0	0
10:20438110-20469728:-	6	0	0	0	0	0	0	0	0	0	0
10:20438110-20481282:-	139	18	0	0	27	31	0	36	18	25	0
10:20438110-20487072:-	22	0	0	0	0	6	0	0	0	0	0
10:20438110-20492105:-	47	9	0	0	10	12	0	0	9	8	0
10:20455783-20481282:-	62	7	0	0	0	7	0	6	0	6	0
10:20455783-20487072:-	54	7	0	0	7	9	0	12	0	0	0
10:20455783-20492105:-	45	11	0	16	8	28	0	14	0	12	0
10:20469602-20487072:-	16	0	0	0	0	0	0	0	0	0	0
10:20469602-20492105:-	112	10	0	9	23	36	23	26	7	8	0
10:20481180-20492105:-	7	0	0	0	0	0	0	0	0	0	0
10:20508014-20536074:-	22	0	0	0	0	0	0	0	0	0	0
10:22742780-22748221:+	0	0	0	16	0	0	0	0	0	0	0
10:23147935-23150324:-	12	0	0	0	0	0	0	0	0	0	0
10:23167793-23172062:-	17	0	0	0	0	0	0	0	0	0	0
10:23289743-23290003:+	22	0	0	0	0	0	0	7	0	0	0
10:23424597-23430986:+	7	0	0	0	0	0	0	0	0	0	0
10:24014298-24018647:+	7	0	0	0	0	0	0	0	0	0	0
