circRNA	pig-liver-young-1	pig-liver-old1	pig-testis-5	cow-liver-K001	cow-testis-adult2	cow-testis-neonat1	cow-liver-K006	pig-testis-54	cow-liver-B004	cow-liver-K013	pig-testis-31	cow-liver-B028	cow-liver-K018	pig-liver-old2	cow-testis-neonat3	cow-liver-B005	cow-liver-B022	cow-liver-K024	cow-liver-B008	cow-liver-K011	cow-testis-adult1	pig-liver-young-2	cow-liver-B027	cow-testis-neonat2	cow-testis-adult3
10:100125353-100134060:+	0	0	0	13	16	11	6	0	9	11	0	7	8	0	15	0	0	8	0	7	14	0	0	16	26
10:100133932-100149042:+	0	0	0	0	14	36	0	0	0	0	0	0	0	0	19	0	0	0	0	0	6	0	0	14	0
10:100144291-100149042:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
10:100242504-100242882:-	0	0	0	0	0	16	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	18	0
10:1002479-1006011:-	0	0	0	0	0	11	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
10:100263972-100270938:+	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:100334116-100343371:-	0	0	0	0	8	6	0	0	0	0	0	0	0	0	14	0	0	0	0	0	7	0	0	6	7
10:100342335-100343371:-	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:100342335-100381292:-	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:100348942-100361665:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	11	0	0	0	0
10:100348942-100365495:-	0	0	0	0	0	9	0	0	0	0	0	0	0	0	8	0	0	0	0	0	7	0	0	0	0
10:100361523-100384844:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
10:10075612-10128008:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
10:100857511-101090112:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
10:100961026-101090112:-	0	0	0	6	0	15	7	0	12	44	0	7	17	0	19	20	11	34	13	20	0	0	12	14	0
10:10100682-10133100:-	0	0	0	0	0	0	7	0	0	10	0	8	6	0	0	0	7	9	6	0	0	0	12	0	0
10:10100682-10133104:-	0	0	0	27	0	0	21	0	21	24	0	37	15	0	0	13	32	33	17	39	0	0	23	0	0
10:101029086-101090112:-	0	0	0	9	0	23	7	0	0	58	0	11	18	0	27	10	10	26	7	16	0	0	19	37	0
10:10107523-10133104:-	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
10:101089555-101090112:-	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
10:101238996-101243081:-	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
10:10127370-10127500:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0
10:10163984-10170555:+	18	8	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:101640027-101691018:+	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:10169064-10170555:+	0	10	0	0	0	0	0	0	0	0	12	0	0	6	0	0	0	0	0	0	0	0	0	0	0
10:10187705-10188323:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0
10:10189701-10190012:+	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:10194715-10207599:+	26	25	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
10:10201830-10207599:+	0	10	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
10:102249593-102267488:-	0	0	0	0	0	11	0	0	0	6	0	10	7	0	9	0	0	0	0	8	0	0	0	0	0
10:102392755-102398058:-	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:1024544-1031793:-	0	0	0	0	14	45	6	0	10	22	0	11	15	0	33	0	8	6	12	12	0	0	15	51	15
10:102521000-102562399:-	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6
10:102559386-102562399:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
10:102559386-102609979:-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:102588282-102609979:-	0	0	0	0	15	52	0	0	0	0	0	0	0	0	35	0	0	0	0	0	8	0	0	34	11
10:102588282-102659954:-	0	0	0	0	0	11	0	0	6	0	0	0	0	0	15	0	0	0	0	0	6	0	0	0	0
10:103020811-103023665:-	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6
10:103045333-103048492:-	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:10348947-10357470:+	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
10:10348947-10365595:+	0	0	0	0	12	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
