gene_id	cow-testis-neonat1	cow-testis-neonat2	cow-testis-neonat3	cow-testis-adult1	cow-testis-adult2	cow-testis-adult3	cow-liver-B004	cow-liver-B005	cow-liver-B008	cow-liver-B022	cow-liver-B027	cow-liver-B028	cow-liver-K001	cow-liver-K006	cow-liver-K011	cow-liver-K013	cow-liver-K018	cow-liver-K024
ENSBTAG00000000005	504.0	311.0	486.0	2199.0	3323.0	2697.0	678.0	840.0	530.0	624.0	684.0	684.02	399.0	442.0	595.0	629.0	615.0	572.0
ENSBTAG00000000008	1.0	1.0	1.0	54.0	59.0	32.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0
ENSBTAG00000000009	50.0	38.0	62.0	14.0	19.0	20.0	85.0	51.0	41.0	52.0	34.0	30.0	23.0	28.0	41.0	44.0	60.0	35.0
ENSBTAG00000000010	565.42	362.0	602.0	306.0	383.0	380.0	611.0	665.0	861.0	853.0	820.0	1043.0	808.0	802.0	735.0	890.0	1074.0	854.0
ENSBTAG00000000011	21.0	20.0	9.0	66.0	102.0	76.0	6752.0	8747.02	13317.99	11180.77	16440.18	14882.36	5955.0	13134.029999999999	5914.0	18543.35	9795.07	8325.0
ENSBTAG00000000012	321.0	491.0	462.0	902.0	1360.0	713.0	428.0	384.0	437.0	387.0	484.0	496.0	482.59000000000003	405.0	420.0	486.0	516.0	495.0
ENSBTAG00000000013	1466.0	1770.99	2022.0	2026.0	3720.0	2907.0	1105.0	963.0	1017.0	914.0	1147.0	923.0	987.0	1003.0	967.0	1029.0	1011.0	1343.01
ENSBTAG00000000014	719.0	581.0	727.0	777.0	774.0	746.0	1451.0	1461.0	1711.0	1883.0	2058.0	2175.0	1522.0	1782.4	1651.0	2115.0	2222.0	1931.94
ENSBTAG00000000015	31.0	27.0	29.0	11.0	8.0	8.0	58.0	79.0	69.0	73.0	41.0	79.0	63.0	85.0	48.0	120.0	80.0	104.0
ENSBTAG00000000016	1.0	1.0	4.0	0.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	5.0	1.0	1.0	8.0	3.0	1.0	0.0
ENSBTAG00000000019	10989.0	13156.01	13081.0	5204.84	4433.63	4511.29	11294.91	10977.0	10980.2	9073.77	9966.91	11533.98	10131.98	10506.01	10943.98	14150.99	12422.0	11000.66
ENSBTAG00000000020	39.0	12.0	93.0	51.0	20.0	19.0	52.0	48.0	74.0	40.0	58.0	22.0	41.0	38.0	31.0	93.0	64.0	48.0
ENSBTAG00000000021	627.0	413.0	624.0	792.0	1427.0	1048.0	284.0	266.0	290.0	335.0	419.0	376.0	305.0	296.0	378.0	337.0	443.0	335.0
ENSBTAG00000000022	259.0	143.0	266.0	314.0	413.0	349.0	198.0	155.0	210.0	171.0	170.0	160.0	166.0	173.0	160.0	210.0	234.0	158.0
ENSBTAG00000000023	1216.0	1228.0	1516.0	1192.0	1077.0	1283.0	649.0	464.0	630.0	455.0	624.0	669.0	465.0	483.0	516.0	581.0	650.0	661.0
ENSBTAG00000000024	1488.0	1063.0	1655.95	6866.0	10109.0	9941.99	1248.0	870.0	1041.0	1166.8400000000001	1059.0	1083.0	865.0	982.0	1015.0	1416.0	1490.0	1384.0
ENSBTAG00000000025	2215.72	1331.49	2678.55	2470.75	2004.98	2409.94	4162.97	3015.19	4283.72	3209.12	4418.469999999999	3753.9900000000002	3513.46	3238.66	3003.49	3330.29	4502.88	4337.89
ENSBTAG00000000026	311.0	274.0	451.0	263.0	312.0	363.0	413.0	431.0	419.0	415.0	412.0	455.0	409.0	353.0	444.0	511.0	485.0	403.0
ENSBTAG00000000027	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000000029	8.0	8.0	16.0	867.0	1606.0	913.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000000030	53.0	16.0	57.0	192.0	211.0	161.0	10.0	7.0	8.0	5.0	5.0	7.0	8.0	6.0	8.0	8.0	3.0	5.0
ENSBTAG00000000031	5.0	3.0	5.0	10.0	12.0	26.0	8.0	7.0	13.0	18.0	13.0	11.0	10.0	10.0	14.0	20.0	17.0	16.0
ENSBTAG00000000032	25.0	7.0	19.0	5.0	0.0	1.0	63.0	77.0	57.0	63.0	58.0	67.0	72.0	58.0	71.0	86.0	72.0	66.0
ENSBTAG00000000033	16.0	10.0	24.0	287.0	1149.0	794.0	34.0	29.0	20.0	13.0	13.0	15.0	40.0	19.0	22.0	23.0	36.0	19.0
ENSBTAG00000000037	415.21	333.63	516.63	694.34	1008.0	794.0	342.13	292.51	346.23	289.66999999999996	510.55000000000007	431.07000000000005	332.43	351.42	277.81	353.4	416.27	335.81
ENSBTAG00000000039	184.0	217.0	370.0	271.0	311.0	305.0	224.0	284.0	214.0	287.0	276.0	282.0	252.0	222.0	278.0	313.0	318.0	367.0
ENSBTAG00000000040	194.0	147.0	233.0	228.0	413.0	318.0	122.0	146.0	176.0	170.0	118.0	140.0	140.0	131.0	121.0	149.0	183.0	264.0
ENSBTAG00000000042	676.0	276.0	481.0	51.0	56.0	78.0	128.0	94.0	123.0	69.0	72.0	72.0	75.0	65.0	91.0	507.0	712.0	396.0
ENSBTAG00000000044	1.0	1.0	5.0	5.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ENSBTAG00000000046	23.0	18.0	49.0	21.0	19.0	25.0	25.0	38.0	30.0	42.0	49.0	51.0	19.0	37.0	29.0	39.0	58.0	42.0
ENSBTAG00000000049	463.0	235.0	631.0	929.0	1537.0	1008.0	126.0	146.0	110.0	117.0	155.0	183.0	86.0	89.0	151.99	141.0	133.0	142.0
ENSBTAG00000000050	335.0	286.0	430.0	390.0	695.0	482.0	184.0	187.0	211.0	240.0	171.0	175.0	134.0	219.0	183.0	296.0	348.0	270.0
ENSBTAG00000000052	39.0	18.0	38.0	19.0	5.0	28.0	82.88	63.0	58.0	64.0	96.0	45.0	36.0	53.0	44.0	92.0	56.0	51.0
ENSBTAG00000000053	119.0	163.0	238.0	168.0	66.0	150.0	209.0	160.0	136.0	108.0	145.0	131.0	109.0	141.0	140.0	212.0	166.0	203.0
ENSBTAG00000000054	593.0	371.0	890.0	230.0	314.0	335.0	168.0	271.0	219.0	221.0	166.0	218.0	160.0	180.0	204.0	294.0	300.0	244.0
ENSBTAG00000000056	209.0	173.0	322.0	786.0	1379.0	1685.0	145.0	123.0	121.0	148.0	142.0	124.0	112.0	101.0	132.0	158.0	165.0	135.0
ENSBTAG00000000057	661.0	554.0	530.0	447.0	864.0	407.0	35.0	26.0	25.0	47.0	38.0	31.0	31.0	35.0	31.0	29.0	28.0	23.0
ENSBTAG00000000060	19.0	16.0	11.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000000061	337.0	111.0	348.0	95.0	21.0	103.0	229.0	189.0	200.0	179.01	234.0	210.0	169.0	174.0	151.0	273.0	160.0	221.0
ENSBTAG00000000062	802.0	585.0	1756.0	398.0	254.0	495.0	65.0	38.0	27.0	28.0	29.0	17.0	12.0	20.0	26.0	56.0	57.0	52.0
ENSBTAG00000000064	179.0	210.0	268.0	744.0	1037.0	740.0	218.0	216.0	166.0	143.0	198.0	202.0	202.0	185.0	154.0	266.0	322.0	209.0
ENSBTAG00000000065	819.0	691.0	875.0	1264.0	2159.0	1267.0	2388.0	2254.0699999999997	2417.0	1773.0	2680.0	2669.9700000000003	2711.0	2303.45	2605.0	2879.0	2721.0	2700.0
ENSBTAG00000000066	7.0	1.0	10.0	24.0	33.0	27.0	2.0	4.0	3.0	16.0	1.0	1.0	2.0	3.0	1.0	6.0	3.0	2.0
ENSBTAG00000000067	142.0	93.0	94.0	584.0	1176.0	760.0	219.0	258.0	321.0	378.0	400.0	351.0	77.0	306.0	173.0	236.0	410.0	173.0
ENSBTAG00000000070	14.0	8.0	13.0	134.0	225.0	331.0	13595.0	13155.7	19995.0	15417.35	20091.06	16290.0	14202.0	19407.0	18357.010000000002	15563.01	15186.93	17322.25
ENSBTAG00000000071	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000000072	353.0	457.0	504.0	507.0	631.0	588.0	474.0	470.90999999999997	674.0	509.0	657.0	648.0	547.0	514.9	460.0	529.0	843.0	787.0
ENSBTAG00000000073	1580.0	1156.0	1785.0	885.0	1441.0	1180.0	563.0	673.0	680.0	687.0	657.0	828.0	627.0	703.79	624.0	870.0	1004.0	806.0
ENSBTAG00000000074	766.0	603.0	792.0	316.0	116.0	281.0	5546.83	3227.0	4825.02	3848.0	2946.0	3919.0	4094.0	3546.0	3826.05	4104.0	3834.0	4291.98
ENSBTAG00000000076	1252.0	709.0	1118.0	338.0	300.0	465.0	214.0	209.0	198.0	145.0	144.0	135.0	121.44	146.0	143.0	251.0	294.0	254.0
ENSBTAG00000000077	948.0	1055.0	1142.0	649.0	740.0	746.99	1048.0	949.0	1056.0	1273.0	1248.0	1162.0	979.0	1272.0	1064.0	1565.0	1709.0	1401.0
ENSBTAG00000000078	1385.0	1033.0	1122.0	177.69	215.0	235.0	101.0	97.0	86.0	89.0	107.0	62.0	53.0	73.0	83.0	127.0	140.0	117.0
ENSBTAG00000000079	78.0	49.0	54.0	51.0	115.0	53.0	24.0	13.0	21.0	27.0	21.0	21.0	22.0	15.0	19.0	41.0	15.0	28.0
ENSBTAG00000000080	417.0	450.0	572.0	771.0	1157.0	844.0	316.0	326.0	355.0	418.0	409.0	447.0	314.0	442.0	348.0	533.0	678.0	482.0
ENSBTAG00000000081	1420.01	1717.0	2291.0	1903.0	2913.0	2454.0	3381.0	2108.0	3050.0	2916.0	3342.0	2772.0	3342.51	2856.0	2343.0	2601.0	3556.0	4400.0
ENSBTAG00000000082	4.0	11.0	7.0	147.0	187.0	147.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0
ENSBTAG00000000084	455.95	365.0	431.0	310.0	396.0	398.0	411.0	340.0	491.0	464.0	578.0	538.0	562.0	469.0	480.0	565.0	732.0	597.0
ENSBTAG00000000085	0.0	0.0	0.0	0.0	0.0	0.0	87831.76000000001	74814.64	108357.08000000002	77407.57	104202.1	141334.27	159093.88	201808.18	176788.52	163225.64	135785.05000000002	177259.1
ENSBTAG00000000087	2316.0	2149.0	2844.0	2992.0	1825.0	1880.0	2452.0	1950.0	3727.0	2309.0	6335.1	3821.0	5919.58	3629.99	2748.0	2368.0	5739.0	2501.0
ENSBTAG00000000088	1074.92	892.0	1209.0	649.0	650.0	666.0	4434.0	3075.0	4314.0	3814.0	4524.0	4182.0	4020.0	3399.0	4280.5	4918.0	4343.0	5067.0
ENSBTAG00000000090	68.0	57.0	120.0	205.0	305.0	293.0	193.0	174.0	157.0	185.0	147.0	188.0	172.98000000000002	176.0	165.0	182.0	276.0	222.0
ENSBTAG00000000091	1781.0	2051.0	2137.0	2492.0	4381.0	2992.0	1741.96	1727.98	1990.97	2048.96	2099.6499999999996	2321.88	1634.97	2184.92	2080.9	2373.92	2609.54	2245.8900000000003
ENSBTAG00000000092	71.0	93.0	187.0	288.0	197.0	362.0	394.0	347.0	365.0	294.0	308.0	431.0	360.0	395.0	364.0	373.0	653.0	557.0
ENSBTAG00000000094	1231.0	1128.0	1658.0	2942.0	3146.4	2522.99	2440.9700000000003	2145.0	2533.0	2237.0	2959.0	2648.0	2440.0	2767.0	2283.0	2887.0	3347.0	3112.0
ENSBTAG00000000095	41.0	116.0	90.0	147.0	179.0	142.0	89.0	43.0	50.0	61.0	86.0	59.0	22.0	47.0	55.0	133.0	36.0	45.0
ENSBTAG00000000097	2042.59	1563.41	2701.04	3862.0	4369.0	3981.05	5463.0	3619.0	5530.0	4294.0	6580.01	5913.0	10961.0	6918.04	6787.0	6488.01	7908.77	8847.0
ENSBTAG00000000098	1292.0	988.0	1699.0	3503.0	4175.0	5258.03	767.0	622.0	728.03	804.0	684.0	809.0	743.0	630.0	737.0	974.0	880.0	937.0
ENSBTAG00000000099	1289.0	1679.0	1818.03	1263.0	764.0	1123.0	11049.02	8629.83	11394.97	10241.0	10608.0	10631.98	10225.96	10530.0	9513.369999999999	15120.970000000001	14767.98	13254.0
ENSBTAG00000000102	97.0	57.0	105.0	87.0	47.0	90.0	87.0	100.0	120.0	107.0	203.0	101.0	64.0	78.0	50.0	63.0	36.0	48.0
ENSBTAG00000000103	777.0	1153.0	999.0	326.0	488.0	341.0	2934.0	3543.0	4009.81	3872.99	3921.0	4066.0	3079.0	4217.0	3867.0	4229.0	6243.0	3846.0
ENSBTAG00000000105	2478.0	2792.0	2480.05	2035.0	1610.0	1610.0	1337.99	1226.0	1054.0	948.0	1000.0	1013.0	937.19	876.0	1030.0	1177.0	1182.03	1170.0
ENSBTAG00000000106	83.0	118.0	33.0	22.0	14.0	22.0	68.0	144.0	191.0	224.0	178.0	166.0	52.0	18.0	2.0	14.0	21.0	9.0
ENSBTAG00000000108	925.0	1031.0	1347.0	1056.0	1186.0	931.0	678.0	640.0	676.0	591.0	644.0	666.0	726.0	674.0	608.0	872.0	922.0	840.0
ENSBTAG00000000109	79.0	40.0	71.0	149.0	152.0	150.0	22.0	8.0	17.0	8.0	5.0	8.0	6.0	6.0	4.0	8.0	14.0	11.0
ENSBTAG00000000111	3324.0	2845.0	3717.0	3483.0	3296.0	3380.42	20374.309999999998	15479.01	16259.0	15125.93	19202.0	19649.989999999998	13436.11	11339.0	11320.02	21883.0	26480.559999999998	20953.010000000002
ENSBTAG00000000113	726.0	596.0	1171.0	1475.0	2287.0	1584.0	1222.0	1451.0	1353.0	1364.0	1472.0	1059.0	917.0	1109.0	1110.0	2191.0	1989.0	1459.0
ENSBTAG00000000115	1341.98	1328.0	1773.95	1463.0	1137.0	1353.0	1632.0	1150.0	1586.0	1246.0	1269.0	1311.0	1351.0	1230.0	1365.0	1450.99	1597.0	1747.0
ENSBTAG00000000118	3.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000000120	82.0	61.0	245.0	63.0	123.0	66.0	2.0	2.0	3.0	3.0	6.0	2.0	1.0	1.0	4.0	2.0	3.0	2.0
ENSBTAG00000000123	0.0	5.0	2.0	2.0	1.0	1.0	6150.93	8674.0	12120.119999999999	9355.99	10184.98	14757.77	18729.0	13687.99	13480.71	11682.28	10964.63	16726.81
ENSBTAG00000000124	238.0	130.0	299.0	114.0	85.0	122.0	7.0	11.0	13.0	8.0	9.0	16.0	8.0	5.0	7.0	9.0	14.0	12.0
ENSBTAG00000000125	1258.0	1024.01	1221.0	2283.0	3004.0	2221.86	323.8	216.0	273.0	175.0	243.0	256.98	266.13	234.0	240.0	312.0	295.0	272.0
ENSBTAG00000000128	9.0	6.0	17.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ENSBTAG00000000130	35.0	42.0	60.0	19.0	26.0	11.0	35.0	49.0	44.0	39.0	47.0	64.0	38.0	39.0	46.0	55.0	51.0	49.0
ENSBTAG00000000131	1088.0	726.0	1029.0	980.0	1421.0	1300.0	480.0	472.72	518.0	574.96	536.0	555.0	454.0	515.0	479.0	678.0	770.0	617.0
ENSBTAG00000000132	9596.0	17111.0	10828.0	6764.0	7033.0	6336.0	3448.0	2942.0	3527.0	4019.0	4470.0	3855.0	2886.0	3908.0	3115.0	3937.0	5625.0	4803.0
ENSBTAG00000000133	46.0	102.0	64.0	28.0	21.0	8.0	584.0	736.0	807.0	555.0	912.0	1085.84	601.0	426.0	566.0	694.0	610.0	631.0
ENSBTAG00000000134	658.0	1139.0	886.0	544.0	577.0	537.0	921.0	980.0	1179.0	1208.0	1323.0	1644.0	1120.0	1260.0	1508.0	1467.0	1400.0	1491.0
ENSBTAG00000000137	1735.0	1449.0	2620.0	2471.0	1588.0	2240.0	2804.0	2387.0	2555.0	2124.0	2144.0	2082.0	2407.0	2349.0	2547.0	3593.0	2744.0	2804.0
ENSBTAG00000000138	13.0	10.0	13.0	451.0	1013.0	655.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ENSBTAG00000000139	64.0	73.0	87.0	103.0	55.0	116.0	181.0	79.0	138.0	135.0	128.98	155.0	158.0	100.0	170.0	180.0	197.0	172.0
ENSBTAG00000000140	842.97	278.28	1048.32	283.02	249.97	346.89	40026.95	38839.2	39204.31	38176.34	41933.18	52685.85	53730.98	57810.95	54523.08	43468.28999999999	70119.44	59655.66
ENSBTAG00000000141	706.0	690.0	949.0	1442.0	2670.0	1789.0	1000.0	992.0	1109.0	1218.0	1329.0	1332.0	1084.0	1011.0	1004.0	1066.0	1114.04	1193.0
ENSBTAG00000000144	158.0	88.0	229.0	25.0	8.0	26.0	72.0	63.0	71.0	44.0	35.0	76.0	54.0	69.0	76.0	73.0	50.0	59.0
ENSBTAG00000000145	1.0	0.0	0.0	6.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSBTAG00000000146	1055.0	579.0	1174.0	806.0	854.0	797.0	6271.0	5339.12	4686.0	5877.8099999999995	5377.0	5395.0	3952.02	5309.0	4865.0	6247.0	8173.969999999999	6457.0
ENSBTAG00000000147	343.93	297.0	572.0	391.0	251.0	374.0	347.0	341.0	367.0	272.0	299.08	334.0	281.78	313.0	251.0	540.0	440.0	446.0
ENSBTAG00000000149	1855.93	1056.0	2254.0	1827.0	2115.02	2147.0	1871.0	1884.0	1814.0	2095.0	1703.0	2019.0	1836.96	1987.83	2097.0	3316.0	3453.0	2765.0
ENSBTAG00000000152	5240.3	4741.85	6196.77	9545.08	7775.15	9852.61	5178.18	4434.9400000000005	5096.57	4616.360000000001	4130.85	4433.5	5614.74	4757.99	4570.5599999999995	6997.37	7429.34	6882.530000000001
ENSBTAG00000000153	17.0	36.0	86.0	72.0	159.0	90.0	51.0	43.0	50.0	66.0	25.0	49.0	38.0	61.0	33.0	73.0	84.0	68.0
ENSBTAG00000000154	1.01	2.01	1.0	1.0	4.77	0.0	0.0	18.59	16.060000000000002	0.0	0.0	0.0	15.21	14.510000000000002	0.0	1.06	2.17	1.11
ENSBTAG00000000157	229.0	172.0	237.0	373.0	507.0	430.0	33.0	37.0	45.0	49.0	33.0	42.0	44.0	27.0	58.0	55.0	43.0	88.0
