gene_ID_ssc	gene_ID_bta	homology_type
ENSSSCG00000018065	ENSBTAG00000043558	ortholog_one2one
ENSSSCG00000018069	ENSBTAG00000043571	ortholog_one2one
ENSSSCG00000018075	ENSBTAG00000043561	ortholog_one2one
ENSSSCG00000018078	ENSBTAG00000043556	ortholog_one2one
ENSSSCG00000018080	ENSBTAG00000043564	ortholog_one2one
ENSSSCG00000018081	ENSBTAG00000050274	ortholog_one2many
ENSSSCG00000018081	ENSBTAG00000043584	ortholog_one2many
ENSSSCG00000018082	ENSBTAG00000043560	ortholog_one2one
ENSSSCG00000018084	ENSBTAG00000043568	ortholog_one2one
ENSSSCG00000018086	ENSBTAG00000054972	ortholog_one2one
ENSSSCG00000018087	ENSBTAG00000043577	ortholog_one2one
ENSSSCG00000018091	ENSBTAG00000043563	ortholog_one2one
ENSSSCG00000018092	ENSBTAG00000043546	ortholog_one2one
ENSSSCG00000018094	ENSBTAG00000043550	ortholog_one2one
ENSSSCG00000037032	ENSBTAG00000007455	ortholog_one2one
ENSSSCG00000032876	ENSBTAG00000018919	ortholog_one2one
ENSSSCG00000033175	ENSBTAG00000001826	ortholog_one2one
ENSSSCG00000015247	ENSBTAG00000009210	ortholog_one2one
ENSSSCG00000008820	ENSBTAG00000005062	ortholog_one2many
ENSSSCG00000008820	ENSBTAG00000051457	ortholog_one2many
ENSSSCG00000016608	ENSBTAG00000004405	ortholog_one2one
ENSSSCG00000007351	ENSBTAG00000000660	ortholog_one2one
ENSSSCG00000001682	ENSBTAG00000005850	ortholog_one2one
ENSSSCG00000007547	ENSBTAG00000015952	ortholog_one2one
ENSSSCG00000034405	ENSBTAG00000004488	ortholog_one2one
ENSSSCG00000012278	ENSBTAG00000015815	ortholog_one2one
ENSSSCG00000009230	ENSBTAG00000013495	ortholog_one2one
ENSSSCG00000005426	ENSBTAG00000013420	ortholog_one2one
ENSSSCG00000009815	ENSBTAG00000010815	ortholog_one2one
ENSSSCG00000015162	ENSBTAG00000010752	ortholog_one2one
ENSSSCG00000005997	ENSBTAG00000013369	ortholog_one2one
ENSSSCG00000034704	ENSBTAG00000013588	ortholog_one2one
ENSSSCG00000002292	ENSBTAG00000018297	ortholog_one2one
ENSSSCG00000014067	ENSBTAG00000003377	ortholog_one2one
ENSSSCG00000015611	ENSBTAG00000020886	ortholog_one2one
ENSSSCG00000029034	ENSBTAG00000016079	ortholog_one2one
ENSSSCG00000039655	ENSBTAG00000055101	ortholog_one2one
ENSSSCG00000041067	ENSBTAG00000040150	ortholog_one2many
ENSSSCG00000008396	ENSBTAG00000012394	ortholog_one2one
ENSSSCG00000013883	ENSBTAG00000012678	ortholog_one2one
ENSSSCG00000012668	ENSBTAG00000047994	ortholog_one2one
ENSSSCG00000038942	ENSBTAG00000033508	ortholog_one2one
ENSSSCG00000029326	ENSBTAG00000014239	ortholog_one2many
ENSSSCG00000029326	ENSBTAG00000019276	ortholog_one2many
ENSSSCG00000039351	ENSBTAG00000018299	ortholog_one2one
ENSSSCG00000045958	ENSBTAG00000050226	ortholog_many2many
ENSSSCG00000045958	ENSBTAG00000054446	ortholog_many2many
ENSSSCG00000045958	ENSBTAG00000050511	ortholog_many2many
ENSSSCG00000003086	ENSBTAG00000020558	ortholog_one2one
ENSSSCG00000017314	ENSBTAG00000052240	ortholog_one2one
ENSSSCG00000010290	ENSBTAG00000003876	ortholog_one2one
ENSSSCG00000003660	ENSBTAG00000048536	ortholog_one2many
ENSSSCG00000003660	ENSBTAG00000017125	ortholog_one2many
ENSSSCG00000024667	ENSBTAG00000015943	ortholog_one2one
ENSSSCG00000040949	ENSBTAG00000055170	ortholog_one2one
ENSSSCG00000006620	ENSBTAG00000017566	ortholog_one2one
ENSSSCG00000002294	ENSBTAG00000001945	ortholog_one2one
ENSSSCG00000027553	ENSBTAG00000020285	ortholog_many2many
ENSSSCG00000027553	ENSBTAG00000053550	ortholog_many2many
ENSSSCG00000027553	ENSBTAG00000040320	ortholog_many2many
ENSSSCG00000027553	ENSBTAG00000049504	ortholog_many2many
ENSSSCG00000027553	ENSBTAG00000002007	ortholog_many2many
ENSSSCG00000012618	ENSBTAG00000046012	ortholog_one2one
ENSSSCG00000001688	ENSBTAG00000011189	ortholog_one2one
ENSSSCG00000008821	ENSBTAG00000021963	ortholog_one2one
ENSSSCG00000029843	ENSBTAG00000008126	ortholog_one2one
ENSSSCG00000038964	ENSBTAG00000015253	ortholog_one2one
ENSSSCG00000014071	ENSBTAG00000010012	ortholog_one2one
ENSSSCG00000007352	ENSBTAG00000004039	ortholog_one2one
ENSSSCG00000000536	ENSBTAG00000011096	ortholog_one2one
