chrom	start	end	strand	nb_ccr	circ_rna_name	exons_id_start	exons_id_end	transcript_id_start	transcript_id_end	gene_id_start	gene_id_end	intron_name	start_i	end_i	gene_id_i	exon_id_i	exon_id_ife	exons_start_end_ife	gene_id_ife
1	27359	38757	+	14	circRNA_8438	ENSSSCE00000182378_5_c_+	ENSSSCE00000185295_3_c_+	ENSSSCT00000058189	ENSSSCT00000023500	ENSSSCG00000027257	ENSSSCG00000027257								
1	128197	132692	-	28	circRNA_8205	ENSSSCE00000290851_3_c_-	ENSSSCE00000176473_5_c_-	ENSSSCT00000041397	ENSSSCT00000038814	ENSSSCG00000029697	ENSSSCG00000029697								
1	534368	538014	-	8	circRNA_3607	ENSSSCE00000033077_3_c_-	ENSSSCE00000448012_5_c_-,ENSSSCE00000327270_5_c_-,ENSSSCE00000292043_5_c_-	ENSSSCT00000037459	ENSSSCT00000004434,ENSSSCT00000037459,ENSSSCT00000040859	ENSSSCG00000004010	ENSSSCG00000004010,ENSSSCG00000004010,ENSSSCG00000004010								
1	559998	567852	+	20	circRNA_6383	ENSSSCE00000033033_5_c_+,ENSSSCE00000452975_5_c_+,ENSSSCE00000340917_5_c_+	ENSSSCE00000347164_3_c_+	ENSSSCT00000004429,ENSSSCT00000031463,ENSSSCT00000056161	ENSSSCT00000004429	ENSSSCG00000030155,ENSSSCG00000030155,ENSSSCG00000030155	ENSSSCG00000030155								
1	565193	567852	+	6	circRNA_16647	ENSSSCE00000270356_5_c_+	ENSSSCE00000347164_3_c_+	ENSSSCT00000004429	ENSSSCT00000004429	ENSSSCG00000030155	ENSSSCG00000030155								
1	593017	598149	+	613	circRNA_86	ENSSSCE00000033046_5_c_+	ENSSSCE00000350503_3_c_+	ENSSSCT00000004431	ENSSSCT00000004431	ENSSSCG00000004008	ENSSSCG00000004008								
1	593017	611340	+	46	circRNA_1641	ENSSSCE00000033046_5_c_+	ENSSSCE00000033056_3_c_+	ENSSSCT00000004431	ENSSSCT00000004431	ENSSSCG00000004008	ENSSSCG00000004008								
1	593017	619011	+	12	circRNA_3942	ENSSSCE00000033046_5_c_+	ENSSSCE00000332604_3_c_+	ENSSSCT00000004431	ENSSSCT00000004431	ENSSSCG00000004008	ENSSSCG00000004008								
1	593017	600608	+	7	circRNA_5971	ENSSSCE00000033046_5_c_+	ENSSSCE00000329127_3_c_+	ENSSSCT00000004431	ENSSSCT00000004431	ENSSSCG00000004008	ENSSSCG00000004008								
1	602985	619011	+	7	circRNA_9479	ENSSSCE00000327639_5_c_+	ENSSSCE00000332604_3_c_+	ENSSSCT00000004431	ENSSSCT00000004431	ENSSSCG00000004008	ENSSSCG00000004008								
1	608275	611340	+	62	circRNA_18081	ENSSSCE00000317569_5_c_+	ENSSSCE00000033056_3_c_+	ENSSSCT00000004431	ENSSSCT00000004431	ENSSSCG00000004008	ENSSSCG00000004008								
1	608275	619011	+	27	circRNA_12155	ENSSSCE00000317569_5_c_+	ENSSSCE00000332604_3_c_+	ENSSSCT00000004431	ENSSSCT00000004431	ENSSSCG00000004008	ENSSSCG00000004008								
1	608275	653683	+	7	circRNA_12804	ENSSSCE00000317569_5_c_+	ENSSSCE00000368061_3_c_+	ENSSSCT00000004431	ENSSSCT00000004431	ENSSSCG00000004008	ENSSSCG00000004008								
1	617144	619011	+	11	circRNA_2455	ENSSSCE00000372965_5_c_+	ENSSSCE00000332604_3_c_+	ENSSSCT00000004431	ENSSSCT00000004431	ENSSSCG00000004008	ENSSSCG00000004008								
1	626316	633589	+	7	circRNA_7435	ENSSSCE00000382625_5_c_+	ENSSSCE00000303239_3_c_+	ENSSSCT00000004431	ENSSSCT00000004431	ENSSSCG00000004008	ENSSSCG00000004008								
1	626316	653683	+	14	circRNA_10333	ENSSSCE00000382625_5_c_+	ENSSSCE00000368061_3_c_+	ENSSSCT00000004431	ENSSSCT00000004431	ENSSSCG00000004008	ENSSSCG00000004008								
1	632858	633589	+	5	circRNA_5900	ENSSSCE00000033062_5_c_+	ENSSSCE00000303239_3_c_+	ENSSSCT00000004431	ENSSSCT00000004431	ENSSSCG00000004008	ENSSSCG00000004008								
1	641933	653683	+	1579	circRNA_14	ENSSSCE00000033065_5_c_+	ENSSSCE00000368061_3_c_+	ENSSSCT00000004431	ENSSSCT00000004431	ENSSSCG00000004008	ENSSSCG00000004008								
1	641933	643477	+	61	circRNA_1057	ENSSSCE00000033065_5_c_+	ENSSSCE00000379110_3_c_+	ENSSSCT00000004431	ENSSSCT00000004431	ENSSSCG00000004008	ENSSSCG00000004008								
1	1203493	1289358	-	9	circRNA_16127	ENSSSCE00000222942_3_c_-	ENSSSCE00000033124_5_c_-	ENSSSCT00000004437	ENSSSCT00000004437	ENSSSCG00000004013	ENSSSCG00000004013								
1	1233509	1289358	-	18	circRNA_7181	ENSSSCE00000291936_3_c_-	ENSSSCE00000033124_5_c_-	ENSSSCT00000004437	ENSSSCT00000004437	ENSSSCG00000004013	ENSSSCG00000004013								
1	1262951	1289358	-	5	circRNA_16750	ENSSSCE00000194608_3_c_-	ENSSSCE00000033124_5_c_-	ENSSSCT00000004437	ENSSSCT00000004437	ENSSSCG00000004013	ENSSSCG00000004013								
1	1600086	1611154	-	8	circRNA_16012	ENSSSCE00000201297_3_c_-	ENSSSCE00000033177_5_c_-	ENSSSCT00000004443	ENSSSCT00000004443	ENSSSCG00000004018	ENSSSCG00000004018								
1	1611008	1620039	-	8	circRNA_10968	ENSSSCE00000033177_3_c_-	ENSSSCE00000033173_5_c_-	ENSSSCT00000004443	ENSSSCT00000004443	ENSSSCG00000004018	ENSSSCG00000004018								
1	1625112	1639323	-	5	circRNA_15286	ENSSSCE00000199478_3_c_-	ENSSSCE00000207913_5_c_-	ENSSSCT00000004443	ENSSSCT00000004443	ENSSSCG00000004018	ENSSSCG00000004018								
1	1633213	1639323	-	15	circRNA_8083	ENSSSCE00000239437_3_c_-	ENSSSCE00000207913_5_c_-	ENSSSCT00000004443	ENSSSCT00000004443	ENSSSCG00000004018	ENSSSCG00000004018								
1	1654691	1663793	-	55	circRNA_1220	ENSSSCE00000204613_3_c_-	ENSSSCE00000237660_5_c_-	ENSSSCT00000004443	ENSSSCT00000004443	ENSSSCG00000004018	ENSSSCG00000004018								
1	1657902	1663793	-	33	circRNA_2492	ENSSSCE00000166264_3_c_-	ENSSSCE00000237660_5_c_-	ENSSSCT00000004443	ENSSSCT00000004443	ENSSSCG00000004018	ENSSSCG00000004018								
1	3238763	3314612	+	7	circRNA_12775	ENSSSCE00000033262_5_c_+,ENSSSCE00000471594_5_c_+	ENSSSCE00000033266_3_c_+	ENSSSCT00000004453,ENSSSCT00000081782	ENSSSCT00000004453	ENSSSCG00000004027,ENSSSCG00000004027	ENSSSCG00000004027								
1	3238763	3302802	+	13	circRNA_13241	ENSSSCE00000033262_5_c_+,ENSSSCE00000471594_5_c_+	ENSSSCE00000033265_3_c_+	ENSSSCT00000004453,ENSSSCT00000081782	ENSSSCT00000004453	ENSSSCG00000004027,ENSSSCG00000004027	ENSSSCG00000004027								
1	3302131	3324464	+	9	circRNA_7963	ENSSSCE00000033264_5_c_+,ENSSSCE00000453324_5_c_+	ENSSSCE00000033270_3_c_+	ENSSSCT00000004453,ENSSSCT00000081782	ENSSSCT00000004453	ENSSSCG00000004027,ENSSSCG00000004027	ENSSSCG00000004027								
1	3314471	3324464	+	70	circRNA_5698	ENSSSCE00000033266_5_c_+	ENSSSCE00000033270_3_c_+	ENSSSCT00000004453	ENSSSCT00000004453	ENSSSCG00000004027	ENSSSCG00000004027								
1	3314471	3322267	+	6	circRNA_16578	ENSSSCE00000033266_5_c_+	ENSSSCE00000033269_3_c_+	ENSSSCT00000004453	ENSSSCT00000004453	ENSSSCG00000004027	ENSSSCG00000004027								
1	3319773	3334483	+	12	circRNA_4547	ENSSSCE00000033267_5_c_+	ENSSSCE00000033272_3_c_+	ENSSSCT00000004453	ENSSSCT00000004453	ENSSSCG00000004027	ENSSSCG00000004027								
1	3319773	3351608	+	15	circRNA_13546	ENSSSCE00000033267_5_c_+	ENSSSCE00000033274_3_c_+	ENSSSCT00000004453	ENSSSCT00000004453	ENSSSCG00000004027	ENSSSCG00000004027								
1	3319773	3337457	+	7	circRNA_14294	ENSSSCE00000033267_5_c_+	ENSSSCE00000033273_3_c_+	ENSSSCT00000004453	ENSSSCT00000004453	ENSSSCG00000004027	ENSSSCG00000004027								
1	3351465	3368539	+	7	circRNA_16690	ENSSSCE00000033274_5_c_+	ENSSSCE00000033278_3_c_+	ENSSSCT00000004453	ENSSSCT00000004453	ENSSSCG00000004027	ENSSSCG00000004027								
1	3353939	3359350	+	7	circRNA_3230	ENSSSCE00000033275_5_c_+	ENSSSCE00000033277_3_c_+	ENSSSCT00000004453	ENSSSCT00000004453	ENSSSCG00000004027	ENSSSCG00000004027								
1	3368366	3389728	+	12	circRNA_1763	ENSSSCE00000033278_5_c_+	ENSSSCE00000461799_3_c_+	ENSSSCT00000004453	ENSSSCT00000004453	ENSSSCG00000004027	ENSSSCG00000004027								
1	3383386	3389728	+	57	circRNA_1976	ENSSSCE00000033279_5_c_+	ENSSSCE00000461799_3_c_+	ENSSSCT00000004453	ENSSSCT00000004453	ENSSSCG00000004027	ENSSSCG00000004027								
1	4775754	4843415	-	16	circRNA_778	ENSSSCE00000033294_3_c_-	ENSSSCE00000290301_5_c_-	ENSSSCT00000042383	ENSSSCT00000042383	ENSSSCG00000004029	ENSSSCG00000004029								
1	6898048	6902240	-	12	circRNA_3390	ENSSSCE00000033347_3_c_-	ENSSSCE00000252596_5_c_-	ENSSSCT00000004465	ENSSSCT00000004465	ENSSSCG00000004037	ENSSSCG00000004037								
1	6951211	6962994	-	6	circRNA_16619	ENSSSCE00000033356_3_c_-	ENSSSCE00000268376_5_c_-	ENSSSCT00000004465	ENSSSCT00000004465	ENSSSCG00000004037	ENSSSCG00000004037								
1	7160498	7166248	-	5	circRNA_7802	ENSSSCE00000033396_3_c_-	ENSSSCE00000033393_5_c_-	ENSSSCT00000004467	ENSSSCT00000004467	ENSSSCG00000004039	ENSSSCG00000004039								
1	7430656	7444063	-	10	circRNA_11719	ENSSSCE00000226854_3_c_-	ENSSSCE00000033448_5_c_-	ENSSSCT00000004472	ENSSSCT00000004472	ENSSSCG00000004044	ENSSSCG00000004044								
1	7441990	7453019	-	7	circRNA_11331	ENSSSCE00000033449_3_c_-	ENSSSCE00000033447_5_c_-	ENSSSCT00000004472	ENSSSCT00000004472	ENSSSCG00000004044	ENSSSCG00000004044								
1	7594611	7598381	+	36	circRNA_4484	ENSSSCE00000033524_5_c_+	ENSSSCE00000033525_3_c_+	ENSSSCT00000004476	ENSSSCT00000004476	ENSSSCG00000004048	ENSSSCG00000004048								
1	7598842	7599773	+	55	circRNA_936	ENSSSCE00000033526_5_c_+	ENSSSCE00000033528_3_c_+	ENSSSCT00000004476	ENSSSCT00000004476	ENSSSCG00000004048	ENSSSCG00000004048						ENSSSCE00000320210	7598734_7601123	ENSSSCG00000004049_-_c
1	7630577	7642879	-	6	circRNA_5904	ENSSSCE00000033545_3_c_-	ENSSSCE00000033541_5_c_-,ENSSSCE00000466771_5_c_-	ENSSSCT00000004478	ENSSSCT00000043325,ENSSSCT00000058364	ENSSSCG00000004050	ENSSSCG00000004050,ENSSSCG00000004050								
1	7635185	7642879	-	6	circRNA_17569	ENSSSCE00000033544_3_c_-	ENSSSCE00000033541_5_c_-,ENSSSCE00000466771_5_c_-	ENSSSCT00000004478	ENSSSCT00000043325,ENSSSCT00000058364	ENSSSCG00000004050	ENSSSCG00000004050,ENSSSCG00000004050								
1	8586432	8598060	-	15	circRNA_15261	ENSSSCE00000360380_3_c_-,ENSSSCE00000412610_3_c_-	ENSSSCE00000376487_5_c_-,ENSSSCE00000429006_5_c_-	ENSSSCT00000026720,ENSSSCT00000087583	ENSSSCT00000026720,ENSSSCT00000087583	ENSSSCG00000024876,ENSSSCG00000024876	ENSSSCG00000024876,ENSSSCG00000024876								
1	8692073	8698741	-	129	circRNA_5139	ENSSSCE00000381139_3_c_-	ENSSSCE00000207914_5_c_-	ENSSSCT00000050178	ENSSSCT00000050178	ENSSSCG00000031776	ENSSSCG00000031776								
1	8692073	8729653	-	7	circRNA_11778	ENSSSCE00000381139_3_c_-	ENSSSCE00000170414_5_c_-	ENSSSCT00000050178	ENSSSCT00000050178	ENSSSCG00000031776	ENSSSCG00000031776								
1	8692073	8738170	-	21	circRNA_15620	ENSSSCE00000381139_3_c_-	ENSSSCE00000234636_5_c_-	ENSSSCT00000050178	ENSSSCT00000050178	ENSSSCG00000031776	ENSSSCG00000031776								
1	8696308	8698741	-	46	circRNA_6996	ENSSSCE00000186145_3_c_-	ENSSSCE00000207914_5_c_-	ENSSSCT00000050178	ENSSSCT00000050178	ENSSSCG00000031776	ENSSSCG00000031776								
1	8949348	8975269	+	30	circRNA_1581	ENSSSCE00000108583_5_c_+	ENSSSCE00000108590_3_c_+	ENSSSCT00000013465	ENSSSCT00000013465	ENSSSCG00000012314	ENSSSCG00000012314								
1	8949348	8977709	+	6	circRNA_6231	ENSSSCE00000108583_5_c_+	ENSSSCE00000108591_3_c_+	ENSSSCT00000013465	ENSSSCT00000013465	ENSSSCG00000012314	ENSSSCG00000012314								
1	8949348	8964165	+	12	circRNA_9304	ENSSSCE00000108583_5_c_+	ENSSSCE00000108589_3_c_+	ENSSSCT00000013465	ENSSSCT00000013465	ENSSSCG00000012314	ENSSSCG00000012314								
1	8962418	8975269	+	11	circRNA_16366	ENSSSCE00000108588_5_c_+	ENSSSCE00000108590_3_c_+	ENSSSCT00000013465	ENSSSCT00000013465	ENSSSCG00000012314	ENSSSCG00000012314								
1	9167470	9195425	-	5	circRNA_1014	ENSSSCE00000160608_3_c_-	ENSSSCE00000453543_5_c_-,ENSSSCE00000204407_5_c_-	ENSSSCT00000030285	ENSSSCT00000070261,ENSSSCT00000061240	ENSSSCG00000030535	ENSSSCG00000030535,ENSSSCG00000030535								
1	9191140	9195425	-	26	circRNA_6015	ENSSSCE00000244319_3_c_-	ENSSSCE00000453543_5_c_-,ENSSSCE00000204407_5_c_-	ENSSSCT00000030285	ENSSSCT00000070261,ENSSSCT00000061240	ENSSSCG00000030535	ENSSSCG00000030535,ENSSSCG00000030535								
1	9923613	9923857	-	7	circRNA_16689	ENSSSCE00000338432_3_c_-	ENSSSCE00000338432_5_c_-	ENSSSCT00000004493	ENSSSCT00000004493	ENSSSCG00000004064	ENSSSCG00000004064						ENSSSCE00000338432,ENSSSCE00000338432,ENSSSCE00000338432,ENSSSCE00000338432	9923613_9923857,9923613_9923857,9923613_9923857,9923613_9923857	ENSSSCG00000004064_-_c,ENSSSCG00000004064_-_c,ENSSSCG00000004064_-_c,ENSSSCG00000004064_-_c
1	10070671	10175846	-	64	circRNA_5709	ENSSSCE00000217792_3_c_-	ENSSSCE00000330950_5_c_-	ENSSSCT00000004493	ENSSSCT00000004493	ENSSSCG00000004064	ENSSSCG00000004064								
