gene_ID_bta	gene_ID_oar	homology_type
ENSBTAG00000006648	ENSOARG00000015478	ortholog_one2one
ENSBTAG00000049697	ENSOARG00000023867	ortholog_one2one
ENSBTAG00000053686	ENSOARG00000022014	ortholog_one2one
ENSBTAG00000001753	ENSOARG00000012660	ortholog_one2one
ENSBTAG00000043654	ENSOARG00000024358	ortholog_one2one
ENSBTAG00000043295	ENSOARG00000024078	ortholog_one2one
ENSBTAG00000042741	ENSOARG00000024688	ortholog_one2one
ENSBTAG00000021251	ENSOARG00000010412	ortholog_one2one
ENSBTAG00000020516	ENSOARG00000008773	ortholog_one2one
ENSBTAG00000025434	ENSOARG00000021177	ortholog_one2one
ENSBTAG00000017421	ENSOARG00000006308	ortholog_one2one
ENSBTAG00000018645	ENSOARG00000004499	ortholog_one2one
ENSBTAG00000052685	ENSOARG00000023126	ortholog_one2one
ENSBTAG00000017790	ENSOARG00000018313	ortholog_one2one
ENSBTAG00000021325	ENSOARG00000020574	ortholog_one2one
ENSBTAG00000044350	ENSOARG00000022024	ortholog_one2one
ENSBTAG00000024453	ENSOARG00000011679	ortholog_one2one
ENSBTAG00000010414	ENSOARG00000004283	ortholog_one2one
ENSBTAG00000019227	ENSOARG00000002701	ortholog_one2many
ENSBTAG00000005603	ENSOARG00000016668	ortholog_one2one
ENSBTAG00000018642	ENSOARG00000012325	ortholog_one2one
ENSBTAG00000053156	ENSOARG00000008757	ortholog_one2many
ENSBTAG00000053156	ENSOARG00000015896	ortholog_one2many
ENSBTAG00000044169	ENSOARG00000002208	ortholog_one2one
ENSBTAG00000013315	ENSOARG00000008306	ortholog_one2one
ENSBTAG00000001164	ENSOARG00000018772	ortholog_one2one
ENSBTAG00000007316	ENSOARG00000017811	ortholog_one2one
ENSBTAG00000020035	ENSOARG00000012673	ortholog_one2one
ENSBTAG00000046443	ENSOARG00000008754	ortholog_many2many
ENSBTAG00000046443	ENSOARG00000010517	ortholog_many2many
ENSBTAG00000046443	ENSOARG00000014373	ortholog_many2many
ENSBTAG00000050420	ENSOARG00000001575	ortholog_many2many
ENSBTAG00000050420	ENSOARG00000014875	ortholog_many2many
ENSBTAG00000004723	ENSOARG00000014649	ortholog_one2one
ENSBTAG00000000682	ENSOARG00000016418	ortholog_one2one
ENSBTAG00000035868	ENSOARG00000001575	ortholog_many2many
ENSBTAG00000035868	ENSOARG00000014875	ortholog_many2many
ENSBTAG00000035966	ENSOARG00000002267	ortholog_one2one
ENSBTAG00000029918	ENSOARG00000022538	ortholog_one2one
ENSBTAG00000018639	ENSOARG00000012410	ortholog_one2one
ENSBTAG00000012020	ENSOARG00000011779	ortholog_one2one
ENSBTAG00000011338	ENSOARG00000016178	ortholog_one2one
ENSBTAG00000006560	ENSOARG00000008847	ortholog_one2one
ENSBTAG00000007127	ENSOARG00000004535	ortholog_one2many
ENSBTAG00000010955	ENSOARG00000016734	ortholog_one2many
ENSBTAG00000017429	ENSOARG00000006193	ortholog_one2one
ENSBTAG00000001737	ENSOARG00000008732	ortholog_one2one
ENSBTAG00000020040	ENSOARG00000019872	ortholog_one2one
ENSBTAG00000021046	ENSOARG00000004264	ortholog_one2one
ENSBTAG00000029880	ENSOARG00000021720	ortholog_one2one
ENSBTAG00000029844	ENSOARG00000023285	ortholog_one2one
ENSBTAG00000048204	ENSOARG00000014920	ortholog_one2one
ENSBTAG00000006762	ENSOARG00000002342	ortholog_one2one
ENSBTAG00000021326	ENSOARG00000020576	ortholog_one2one
ENSBTAG00000018255	ENSOARG00000021179	ortholog_one2one
ENSBTAG00000040564	ENSOARG00000017031	ortholog_one2many
ENSBTAG00000043048	ENSOARG00000023619	ortholog_one2one
ENSBTAG00000004334	ENSOARG00000008827	ortholog_one2one
ENSBTAG00000014099	ENSOARG00000016223	ortholog_one2one
ENSBTAG00000042677	ENSOARG00000022032	ortholog_one2one
ENSBTAG00000017840	ENSOARG00000008407	ortholog_one2one
ENSBTAG00000032519	ENSOARG00000006111	ortholog_one2one
ENSBTAG00000015925	ENSOARG00000004581	ortholog_one2one
ENSBTAG00000001150	ENSOARG00000007595	ortholog_one2one
ENSBTAG00000017771	ENSOARG00000018352	ortholog_one2one
ENSBTAG00000012066	ENSOARG00000014779	ortholog_one2one
ENSBTAG00000048331	ENSOARG00000018556	ortholog_one2one
ENSBTAG00000044067	ENSOARG00000002350	ortholog_one2one
ENSBTAG00000010956	ENSOARG00000016858	ortholog_one2many
ENSBTAG00000010956	ENSOARG00000001517	ortholog_one2many
ENSBTAG00000017830	ENSOARG00000008570	ortholog_one2one
ENSBTAG00000045185	ENSOARG00000022466	ortholog_one2one
ENSBTAG00000053149	ENSOARG00000024227	ortholog_one2one
ENSBTAG00000051226	ENSOARG00000012683	ortholog_one2one
ENSBTAG00000003707	ENSOARG00000018391	ortholog_one2one
ENSBTAG00000006765	ENSOARG00000015911	ortholog_one2many
ENSBTAG00000006765	ENSOARG00000002454	ortholog_one2many
ENSBTAG00000018637	ENSOARG00000012506	ortholog_one2one
ENSBTAG00000005961	ENSOARG00000016649	ortholog_one2one
ENSBTAG00000013841	ENSOARG00000007621	ortholog_one2one
ENSBTAG00000017672	ENSOARG00000014933	ortholog_one2one
ENSBTAG00000007110	ENSOARG00000011913	ortholog_one2one
ENSBTAG00000049768	ENSOARG00000021891	ortholog_one2one
ENSBTAG00000021328	ENSOARG00000020589	ortholog_one2one
ENSBTAG00000046440	ENSOARG00000000262	ortholog_one2one
ENSBTAG00000004921	ENSOARG00000016978	ortholog_one2one
ENSBTAG00000051329	ENSOARG00000024610	ortholog_one2one
ENSBTAG00000021253	ENSOARG00000010468	ortholog_one2one
ENSBTAG00000011528	ENSOARG00000007650	ortholog_one2one
ENSBTAG00000015356	ENSOARG00000004619	ortholog_one2one
ENSBTAG00000049988	ENSOARG00000023907	ortholog_one2one
ENSBTAG00000011076	ENSOARG00000016256	ortholog_one2one
ENSBTAG00000010389	ENSOARG00000017040	ortholog_one2one
ENSBTAG00000044380	ENSOARG00000023484	ortholog_one2one
ENSBTAG00000026260	ENSOARG00000007677	ortholog_one2one
ENSBTAG00000009281	ENSOARG00000008779	ortholog_one2one
ENSBTAG00000048475	ENSOARG00000023598	ortholog_one2one
ENSBTAG00000010961	ENSOARG00000016654	ortholog_one2one
ENSBTAG00000054393	ENSOARG00000024514	ortholog_one2one
ENSBTAG00000010959	ENSOARG00000017230	ortholog_one2many
ENSBTAG00000027017	ENSOARG00000006100	ortholog_one2one
ENSBTAG00000037640	ENSOARG00000020593	ortholog_one2one
ENSBTAG00000018905	ENSOARG00000012575	ortholog_one2one
ENSBTAG00000004159	ENSOARG00000006034	ortholog_one2one
ENSBTAG00000012594	ENSOARG00000012707	ortholog_one2one
ENSBTAG00000000738	ENSOARG00000008706	ortholog_one2one
ENSBTAG00000003700	ENSOARG00000018414	ortholog_one2one
ENSBTAG00000012157	ENSOARG00000017181	ortholog_one2one
ENSBTAG00000009284	ENSOARG00000008655	ortholog_one2one
ENSBTAG00000003131	ENSOARG00000018069	ortholog_one2one
ENSBTAG00000021259	ENSOARG00000010526	ortholog_one2one
ENSBTAG00000007508	ENSOARG00000005958	ortholog_one2one
ENSBTAG00000014661	ENSOARG00000016586	ortholog_one2many
ENSBTAG00000014661	ENSOARG00000016720	ortholog_one2many
ENSBTAG00000008710	ENSOARG00000012144	ortholog_one2one
ENSBTAG00000051881	ENSOARG00000008754	ortholog_many2many
ENSBTAG00000051881	ENSOARG00000010517	ortholog_many2many
ENSBTAG00000051881	ENSOARG00000014373	ortholog_many2many
ENSBTAG00000009209	ENSOARG00000004077	ortholog_one2one
ENSBTAG00000004333	ENSOARG00000008680	ortholog_one2one
ENSBTAG00000014948	ENSOARG00000019878	ortholog_one2one
ENSBTAG00000016063	ENSOARG00000020608	ortholog_one2one
ENSBTAG00000018278	ENSOARG00000012773	ortholog_one2one
ENSBTAG00000010127	ENSOARG00000008796	ortholog_one2one
ENSBTAG00000007409	ENSOARG00000014870	ortholog_one2one
ENSBTAG00000004574	ENSOARG00000018205	ortholog_one2one
ENSBTAG00000048309	ENSOARG00000016757	ortholog_one2one
ENSBTAG00000002941	ENSOARG00000012648	ortholog_one2one
ENSBTAG00000003222	ENSOARG00000004686	ortholog_one2one
ENSBTAG00000018420	ENSOARG00000014976	ortholog_one2one
ENSBTAG00000049334	ENSOARG00000022419	ortholog_one2one
ENSBTAG00000050920	ENSOARG00000014940	ortholog_one2one
ENSBTAG00000054735	ENSOARG00000022322	ortholog_one2one
ENSBTAG00000025632	ENSOARG00000019881	ortholog_one2one
ENSBTAG00000016145	ENSOARG00000016825	ortholog_one2one
ENSBTAG00000019633	ENSOARG00000017352	ortholog_one2many
ENSBTAG00000019633	ENSOARG00000017349	ortholog_one2many
ENSBTAG00000030836	ENSOARG00000005772	ortholog_one2one
ENSBTAG00000012722	ENSOARG00000003993	ortholog_one2one
ENSBTAG00000038487	ENSOARG00000014990	ortholog_one2one
ENSBTAG00000048628	ENSOARG00000012227	ortholog_one2one
ENSBTAG00000000341	ENSOARG00000016981	ortholog_one2one
ENSBTAG00000000720	ENSOARG00000008683	ortholog_one2one
ENSBTAG00000039046	ENSOARG00000011081	ortholog_one2many
ENSBTAG00000020459	ENSOARG00000008907	ortholog_one2one
ENSBTAG00000021997	ENSOARG00000012903	ortholog_one2one
ENSBTAG00000023186	ENSOARG00000009925	ortholog_one2many
ENSBTAG00000016236	ENSOARG00000019890	ortholog_one2one
ENSBTAG00000055306	ENSOARG00000008697	ortholog_many2many
ENSBTAG00000055306	ENSOARG00000008791	ortholog_many2many
ENSBTAG00000055306	ENSOARG00000008675	ortholog_many2many
ENSBTAG00000032651	ENSOARG00000016219	ortholog_one2one
ENSBTAG00000018423	ENSOARG00000015045	ortholog_one2one
ENSBTAG00000006954	ENSOARG00000014998	ortholog_one2one
ENSBTAG00000004995	ENSOARG00000004843	ortholog_one2one
ENSBTAG00000049948	ENSOARG00000008697	ortholog_many2many
ENSBTAG00000049948	ENSOARG00000008791	ortholog_many2many
ENSBTAG00000049948	ENSOARG00000008675	ortholog_many2many
ENSBTAG00000055103	ENSOARG00000008697	ortholog_many2many
ENSBTAG00000055103	ENSOARG00000008791	ortholog_many2many
ENSBTAG00000055103	ENSOARG00000008675	ortholog_many2many
ENSBTAG00000053350	ENSOARG00000023211	ortholog_one2one
ENSBTAG00000004860	ENSOARG00000017050	ortholog_one2one
ENSBTAG00000050468	ENSOARG00000008697	ortholog_many2many
ENSBTAG00000050468	ENSOARG00000008791	ortholog_many2many
ENSBTAG00000050468	ENSOARG00000008675	ortholog_many2many
ENSBTAG00000051622	ENSOARG00000008697	ortholog_many2many
ENSBTAG00000051622	ENSOARG00000008791	ortholog_many2many
ENSBTAG00000051622	ENSOARG00000008675	ortholog_many2many
ENSBTAG00000021270	ENSOARG00000010585	ortholog_one2one
ENSBTAG00000010850	ENSOARG00000012256	ortholog_one2one
ENSBTAG00000048993	ENSOARG00000008697	ortholog_many2many
ENSBTAG00000048993	ENSOARG00000008791	ortholog_many2many
ENSBTAG00000048993	ENSOARG00000008675	ortholog_many2many
ENSBTAG00000038148	ENSOARG00000017421	ortholog_one2one
ENSBTAG00000050648	ENSOARG00000001039	ortholog_one2many
ENSBTAG00000017808	ENSOARG00000018284	ortholog_one2one
ENSBTAG00000021653	ENSOARG00000020614	ortholog_one2one
ENSBTAG00000003128	ENSOARG00000003971	ortholog_one2one
ENSBTAG00000014002	ENSOARG00000015133	ortholog_one2one
ENSBTAG00000002939	ENSOARG00000012778	ortholog_one2one
ENSBTAG00000003541	ENSOARG00000015001	ortholog_one2one
ENSBTAG00000019554	ENSOARG00000008668	ortholog_one2one
ENSBTAG00000046723	ENSOARG00000012287	ortholog_one2one
ENSBTAG00000014027	ENSOARG00000016302	ortholog_one2one
ENSBTAG00000010046	ENSOARG00000015008	ortholog_one2one
ENSBTAG00000006416	ENSOARG00000019895	ortholog_one2one
ENSBTAG00000054945	ENSOARG00000008697	ortholog_many2many
ENSBTAG00000054945	ENSOARG00000008791	ortholog_many2many
ENSBTAG00000054945	ENSOARG00000008675	ortholog_many2many
ENSBTAG00000008490	ENSOARG00000012994	ortholog_one2one
ENSBTAG00000021372	ENSOARG00000017493	ortholog_one2one
ENSBTAG00000019853	ENSOARG00000015245	ortholog_one2one
ENSBTAG00000009733	ENSOARG00000008650	ortholog_one2one
ENSBTAG00000051766	ENSOARG00000015014	ortholog_one2one
ENSBTAG00000001895	ENSOARG00000016332	ortholog_one2one
ENSBTAG00000015307	ENSOARG00000017189	ortholog_one2one
ENSBTAG00000004384	ENSOARG00000009050	ortholog_one2one
ENSBTAG00000024420	ENSOARG00000005106	ortholog_one2one
ENSBTAG00000020614	ENSOARG00000005847	ortholog_one2one
ENSBTAG00000006413	ENSOARG00000010961	ortholog_one2many
ENSBTAG00000006413	ENSOARG00000019901	ortholog_one2many
ENSBTAG00000003705	ENSOARG00000018480	ortholog_one2one
ENSBTAG00000045969	ENSOARG00000017938	ortholog_one2one
ENSBTAG00000020886	ENSOARG00000012524	ortholog_one2one
ENSBTAG00000053779	ENSOARG00000019874	ortholog_one2one
ENSBTAG00000012225	ENSOARG00000015347	ortholog_one2one
ENSBTAG00000001898	ENSOARG00000016355	ortholog_one2one
ENSBTAG00000053659	ENSOARG00000023375	ortholog_one2one
ENSBTAG00000048680	ENSOARG00000019875	ortholog_one2one
ENSBTAG00000004380	ENSOARG00000009154	ortholog_one2one
ENSBTAG00000017741	ENSOARG00000014346	ortholog_one2one
ENSBTAG00000042977	ENSOARG00000023891	ortholog_one2one
ENSBTAG00000048519	ENSOARG00000021180	ortholog_one2one
ENSBTAG00000014858	ENSOARG00000018520	ortholog_one2one
ENSBTAG00000052289	ENSOARG00000019880	ortholog_one2one
ENSBTAG00000045410	ENSOARG00000024758	ortholog_one2one
ENSBTAG00000007385	ENSOARG00000019905	ortholog_one2one
ENSBTAG00000053910	ENSOARG00000015412	ortholog_one2one
ENSBTAG00000010052	ENSOARG00000021181	ortholog_one2one
ENSBTAG00000021272	ENSOARG00000010625	ortholog_one2one
ENSBTAG00000020301	ENSOARG00000012875	ortholog_one2one
ENSBTAG00000014463	ENSOARG00000018416	ortholog_one2one
ENSBTAG00000004378	ENSOARG00000009246	ortholog_one2one
ENSBTAG00000014225	ENSOARG00000003846	ortholog_one2one
ENSBTAG00000019851	ENSOARG00000015049	ortholog_one2one
ENSBTAG00000003711	ENSOARG00000005722	ortholog_one2one
ENSBTAG00000000699	ENSOARG00000008634	ortholog_one2one
ENSBTAG00000009637	ENSOARG00000017613	ortholog_one2one
ENSBTAG00000009998	ENSOARG00000021182	ortholog_one2one
ENSBTAG00000008699	ENSOARG00000016378	ortholog_one2one
ENSBTAG00000011642	ENSOARG00000002840	ortholog_one2one
ENSBTAG00000004376	ENSOARG00000009379	ortholog_one2one
ENSBTAG00000035175	ENSOARG00000013016	ortholog_one2one
ENSBTAG00000013781	ENSOARG00000005643	ortholog_one2one
ENSBTAG00000038181	ENSOARG00000014316	ortholog_one2one
ENSBTAG00000037985	ENSOARG00000000740	ortholog_one2one
ENSBTAG00000000599	ENSOARG00000017601	ortholog_one2one
ENSBTAG00000010915	ENSOARG00000012943	ortholog_one2one
ENSBTAG00000029989	ENSOARG00000023635	ortholog_one2one
ENSBTAG00000002357	ENSOARG00000011532	ortholog_one2one
ENSBTAG00000021276	ENSOARG00000010659	ortholog_one2one
ENSBTAG00000029846	ENSOARG00000022746	ortholog_one2one
ENSBTAG00000002849	ENSOARG00000012720	ortholog_one2one
ENSBTAG00000029954	ENSOARG00000024898	ortholog_one2one
ENSBTAG00000044029	ENSOARG00000019911	ortholog_one2one
ENSBTAG00000014598	ENSOARG00000015595	ortholog_one2one
ENSBTAG00000004374	ENSOARG00000009402	ortholog_one2one
ENSBTAG00000021768	ENSOARG00000017649	ortholog_one2one
ENSBTAG00000030814	ENSOARG00000010688	ortholog_one2one
ENSBTAG00000035030	ENSOARG00000016402	ortholog_one2one
ENSBTAG00000017195	ENSOARG00000008608	ortholog_one2one
ENSBTAG00000007537	ENSOARG00000008654	ortholog_one2one
ENSBTAG00000017798	ENSOARG00000021183	ortholog_one2one
ENSBTAG00000054583	ENSOARG00000003752	ortholog_one2one
ENSBTAG00000017094	ENSOARG00000018548	ortholog_one2one
ENSBTAG00000008482	ENSOARG00000013038	ortholog_one2one
ENSBTAG00000048276	ENSOARG00000010715	ortholog_one2one
ENSBTAG00000009192	ENSOARG00000003732	ortholog_one2one
ENSBTAG00000017811	ENSOARG00000021184	ortholog_one2one
ENSBTAG00000004371	ENSOARG00000009418	ortholog_one2one
ENSBTAG00000013060	ENSOARG00000013053	ortholog_one2one
ENSBTAG00000021280	ENSOARG00000010761	ortholog_one2one
ENSBTAG00000008479	ENSOARG00000017732	ortholog_one2one
ENSBTAG00000013168	ENSOARG00000005725	ortholog_one2one
ENSBTAG00000004367	ENSOARG00000009492	ortholog_one2one
ENSBTAG00000052380	ENSOARG00000017760	ortholog_one2one
ENSBTAG00000049571	ENSOARG00000017771	ortholog_one2one
ENSBTAG00000018817	ENSOARG00000003067	ortholog_one2one
ENSBTAG00000005796	ENSOARG00000008569	ortholog_one2one
ENSBTAG00000028704	ENSOARG00000024916	ortholog_one2one
ENSBTAG00000050751	ENSOARG00000022065	ortholog_one2one
ENSBTAG00000050458	ENSOARG00000024161	ortholog_one2one
ENSBTAG00000029317	ENSOARG00000022064	ortholog_one2one
ENSBTAG00000008963	ENSOARG00000000627	ortholog_one2one
ENSBTAG00000011762	ENSOARG00000009586	ortholog_one2one
ENSBTAG00000054324	ENSOARG00000003700	ortholog_one2one
ENSBTAG00000043395	ENSOARG00000024802	ortholog_one2one
ENSBTAG00000002848	ENSOARG00000004302	ortholog_one2one
ENSBTAG00000023398	ENSOARG00000010806	ortholog_one2one
ENSBTAG00000010338	ENSOARG00000020617	ortholog_one2one
ENSBTAG00000046864	ENSOARG00000019883	ortholog_one2one
ENSBTAG00000029956	ENSOARG00000023964	ortholog_one2one
ENSBTAG00000017525	ENSOARG00000016432	ortholog_one2one
ENSBTAG00000031135	ENSOARG00000016601	ortholog_one2one
ENSBTAG00000008576	ENSOARG00000021185	ortholog_one2one
ENSBTAG00000018162	ENSOARG00000000068	ortholog_one2one
ENSBTAG00000047004	ENSOARG00000005735	ortholog_one2one
ENSBTAG00000018360	ENSOARG00000017813	ortholog_one2one
ENSBTAG00000009188	ENSOARG00000013139	ortholog_one2one
ENSBTAG00000045643	ENSOARG00000003594	ortholog_one2one
ENSBTAG00000050064	ENSOARG00000019886	ortholog_one2one
ENSBTAG00000021977	ENSOARG00000017766	ortholog_one2one
ENSBTAG00000003259	ENSOARG00000000937	ortholog_one2one
ENSBTAG00000014124	ENSOARG00000014289	ortholog_one2one
ENSBTAG00000005793	ENSOARG00000008483	ortholog_one2one
ENSBTAG00000002846	ENSOARG00000012918	ortholog_one2one
ENSBTAG00000017090	ENSOARG00000018608	ortholog_one2one
ENSBTAG00000049460	ENSOARG00000019887	ortholog_one2one
ENSBTAG00000051386	ENSOARG00000016444	ortholog_one2many
ENSBTAG00000019956	ENSOARG00000003581	ortholog_one2one
ENSBTAG00000008533	ENSOARG00000005844	ortholog_one2one
ENSBTAG00000010344	ENSOARG00000020626	ortholog_one2one
ENSBTAG00000007280	ENSOARG00000019801	ortholog_one2one
ENSBTAG00000047101	ENSOARG00000021186	ortholog_one2one
ENSBTAG00000034187	ENSOARG00000023411	ortholog_one2one
ENSBTAG00000009187	ENSOARG00000007743	ortholog_one2one
ENSBTAG00000015951	ENSOARG00000015771	ortholog_one2one
ENSBTAG00000001258	ENSOARG00000013154	ortholog_one2one
ENSBTAG00000020223	ENSOARG00000008405	ortholog_one2one
ENSBTAG00000017844	ENSOARG00000003564	ortholog_one2one
ENSBTAG00000005584	ENSOARG00000012402	ortholog_one2many
ENSBTAG00000021284	ENSOARG00000010840	ortholog_one2one
ENSBTAG00000003857	ENSOARG00000021187	ortholog_one2one
ENSBTAG00000004105	ENSOARG00000005641	ortholog_one2one
ENSBTAG00000050488	ENSOARG00000019894	ortholog_many2many
ENSBTAG00000050488	ENSOARG00000019891	ortholog_many2many
ENSBTAG00000043972	ENSOARG00000014276	ortholog_one2one
ENSBTAG00000043693	ENSOARG00000022665	ortholog_one2one
ENSBTAG00000017087	ENSOARG00000000099	ortholog_one2one
ENSBTAG00000054038	ENSOARG00000019894	ortholog_many2many
ENSBTAG00000054038	ENSOARG00000019891	ortholog_many2many
ENSBTAG00000000329	ENSOARG00000017856	ortholog_one2one
ENSBTAG00000043819	ENSOARG00000022187	ortholog_one2one
ENSBTAG00000013734	ENSOARG00000016196	ortholog_one2one
ENSBTAG00000042896	ENSOARG00000024229	ortholog_one2one
ENSBTAG00000015752	ENSOARG00000020630	ortholog_one2one
ENSBTAG00000015086	ENSOARG00000013020	ortholog_one2one
ENSBTAG00000053131	ENSOARG00000000144	ortholog_one2many
ENSBTAG00000053131	ENSOARG00000014326	ortholog_one2many
ENSBTAG00000052144	ENSOARG00000022500	ortholog_one2one
ENSBTAG00000016644	ENSOARG00000016480	ortholog_one2one
ENSBTAG00000043399	ENSOARG00000022813	ortholog_one2one
ENSBTAG00000005029	ENSOARG00000003450	ortholog_one2one
ENSBTAG00000009903	ENSOARG00000008578	ortholog_one2one
ENSBTAG00000046389	ENSOARG00000021002	ortholog_one2one
ENSBTAG00000048495	ENSOARG00000002460	ortholog_one2many
ENSBTAG00000000799	ENSOARG00000006046	ortholog_one2one
ENSBTAG00000013749	ENSOARG00000005626	ortholog_one2one
ENSBTAG00000009023	ENSOARG00000015575	ortholog_one2one
ENSBTAG00000037239	ENSOARG00000024632	ortholog_one2one
ENSBTAG00000021283	ENSOARG00000019390	ortholog_one2one
ENSBTAG00000021242	ENSOARG00000011543	ortholog_one2one
ENSBTAG00000049061	ENSOARG00000023869	ortholog_one2one
ENSBTAG00000044339	ENSOARG00000023006	ortholog_one2one
ENSBTAG00000007079	ENSOARG00000007864	ortholog_one2one
ENSBTAG00000044065	ENSOARG00000015799	ortholog_one2one
ENSBTAG00000053934	ENSOARG00000002651	ortholog_one2many
ENSBTAG00000014172	ENSOARG00000014288	ortholog_one2one
ENSBTAG00000004212	ENSOARG00000001324	ortholog_one2one
ENSBTAG00000000317	ENSOARG00000002525	ortholog_one2one
ENSBTAG00000010716	ENSOARG00000018254	ortholog_one2one
ENSBTAG00000010821	ENSOARG00000014252	ortholog_one2one
ENSBTAG00000002555	ENSOARG00000003430	ortholog_one2one
ENSBTAG00000022917	ENSOARG00000011953	ortholog_one2one
ENSBTAG00000042543	ENSOARG00000024508	ortholog_one2one
ENSBTAG00000039738	ENSOARG00000019615	ortholog_one2one
ENSBTAG00000048626	ENSOARG00000004657	ortholog_one2one
ENSBTAG00000043490	ENSOARG00000021988	ortholog_one2one
ENSBTAG00000018446	ENSOARG00000006024	ortholog_one2one
ENSBTAG00000002398	ENSOARG00000005303	ortholog_one2one
ENSBTAG00000042442	ENSOARG00000024140	ortholog_one2one
ENSBTAG00000018770	ENSOARG00000010305	ortholog_one2one
ENSBTAG00000026320	ENSOARG00000013435	ortholog_one2one
ENSBTAG00000001385	ENSOARG00000013148	ortholog_one2one
ENSBTAG00000013901	ENSOARG00000005028	ortholog_one2one
ENSBTAG00000012899	ENSOARG00000013168	ortholog_one2one
ENSBTAG00000015719	ENSOARG00000005537	ortholog_one2one
ENSBTAG00000020221	ENSOARG00000015400	ortholog_one2one
ENSBTAG00000047416	ENSOARG00000005331	ortholog_one2one
ENSBTAG00000053335	ENSOARG00000023575	ortholog_one2one
ENSBTAG00000017549	ENSOARG00000015592	ortholog_one2one
ENSBTAG00000036363	ENSOARG00000022938	ortholog_one2one
ENSBTAG00000038815	ENSOARG00000002442	ortholog_one2many
ENSBTAG00000005103	ENSOARG00000018659	ortholog_one2one
ENSBTAG00000016465	ENSOARG00000001371	ortholog_one2one
ENSBTAG00000043713	ENSOARG00000021345	ortholog_one2one
ENSBTAG00000002799	ENSOARG00000009687	ortholog_one2one
ENSBTAG00000001928	ENSOARG00000015676	ortholog_one2many
