chrom:start-end:strand	nb_ccr	gene_id	biotype
1:27359-38757:+	14	ENSSSCG00000027257	c
1:128197-132692:-	28	ENSSSCG00000029697	c
1:534368-538014:-	8	ENSSSCG00000004010	c
1:559998-567852:+	20	ENSSSCG00000030155	c
1:565193-567852:+	6	ENSSSCG00000030155	c
1:593017-598149:+	613	ENSSSCG00000004008	c
1:593017-611340:+	46	ENSSSCG00000004008	c
1:593017-619011:+	12	ENSSSCG00000004008	c
1:593017-600608:+	7	ENSSSCG00000004008	c
1:602985-619011:+	7	ENSSSCG00000004008	c
1:608275-611340:+	62	ENSSSCG00000004008	c
1:608275-619011:+	27	ENSSSCG00000004008	c
1:608275-653683:+	7	ENSSSCG00000004008	c
1:617144-619011:+	11	ENSSSCG00000004008	c
1:626316-633589:+	7	ENSSSCG00000004008	c
1:626316-653683:+	14	ENSSSCG00000004008	c
1:632858-633589:+	5	ENSSSCG00000004008	c
1:641933-653683:+	1579	ENSSSCG00000004008	c
1:641933-643477:+	61	ENSSSCG00000004008	c
1:1203493-1289358:-	9	ENSSSCG00000004013	c
1:1233509-1289358:-	18	ENSSSCG00000004013	c
1:1262951-1289358:-	5	ENSSSCG00000004013	c
1:1600086-1611154:-	8	ENSSSCG00000004018	c
1:1611008-1620039:-	8	ENSSSCG00000004018	c
1:1625112-1639323:-	5	ENSSSCG00000004018	c
1:1633213-1639323:-	15	ENSSSCG00000004018	c
1:1654691-1663793:-	55	ENSSSCG00000004018	c
1:1657902-1663793:-	33	ENSSSCG00000004018	c
1:3238763-3314612:+	7	ENSSSCG00000004027	c
1:3238763-3302802:+	13	ENSSSCG00000004027	c
1:3302131-3324464:+	9	ENSSSCG00000004027	c
1:3314471-3324464:+	70	ENSSSCG00000004027	c
1:3314471-3322267:+	6	ENSSSCG00000004027	c
1:3319773-3334483:+	12	ENSSSCG00000004027	c
1:3319773-3351608:+	15	ENSSSCG00000004027	c
1:3319773-3337457:+	7	ENSSSCG00000004027	c
1:3351465-3368539:+	7	ENSSSCG00000004027	c
1:3353939-3359350:+	7	ENSSSCG00000004027	c
1:3368366-3389728:+	12	ENSSSCG00000004027	c
1:3383386-3389728:+	57	ENSSSCG00000004027	c
1:4775754-4843415:-	16	ENSSSCG00000004029	c
1:6898048-6902240:-	12	ENSSSCG00000004037	c
1:6951211-6962994:-	6	ENSSSCG00000004037	c
1:7160498-7166248:-	5	ENSSSCG00000004039	c
1:7430656-7444063:-	10	ENSSSCG00000004044	c
1:7441990-7453019:-	7	ENSSSCG00000004044	c
1:7594611-7598381:+	36	ENSSSCG00000004048	c
1:7598842-7599773:+	55	ENSSSCG00000004048	c
1:7630577-7642879:-	6	ENSSSCG00000004050	c
1:7635185-7642879:-	6	ENSSSCG00000004050	c
1:8586432-8598060:-	15	ENSSSCG00000024876	c
1:8692073-8698741:-	129	ENSSSCG00000031776	c
1:8692073-8729653:-	7	ENSSSCG00000031776	c
1:8692073-8738170:-	21	ENSSSCG00000031776	c
1:8696308-8698741:-	46	ENSSSCG00000031776	c
1:8949348-8975269:+	30	ENSSSCG00000012314	c
1:8949348-8977709:+	6	ENSSSCG00000012314	c
1:8949348-8964165:+	12	ENSSSCG00000012314	c
1:8962418-8975269:+	11	ENSSSCG00000012314	c
1:9167470-9195425:-	5	ENSSSCG00000030535	c
1:9191140-9195425:-	26	ENSSSCG00000030535	c
1:9923613-9923857:-	7	ENSSSCG00000004064	c
1:10070671-10175846:-	64	ENSSSCG00000004064	c
1:11584816-11596113:+	12	ENSSSCG00000024361	c
1:11656689-11658867:-	10	ENSSSCG00000004065	c
1:12056479-12061089:-	8	ENSSSCG00000004070	c
1:12056479-12060454:-	9	ENSSSCG00000004070	c
1:12071469-12086591:-	5	ENSSSCG00000004070	c
1:12361986-12373696:+	6	ENSSSCG00000004071	c
1:13452687-13456999:+	5	ENSSSCG00000004076	c
1:13472924-13473642:+	8	ENSSSCG00000004077	c
1:14186644-14188834:+	5	ENSSSCG00000004082	c
1:14800956-14801447:+	6	ENSSSCG00000004089	c
1:14813379-14817648:+	93	ENSSSCG00000004089	c
1:14813379-14838628:+	16	ENSSSCG00000004089	c
1:14813379-14820309:+	5	ENSSSCG00000004089	c
1:14813379-14851175:+	6	ENSSSCG00000004089	c
1:14817547-14851175:+	9	ENSSSCG00000004089	c
1:15310675-15313904:-	15	ENSSSCG00000004092	c
1:16218320-16224015:-	5	ENSSSCG00000004103	c
1:16307507-16307993:+	76	ENSSSCG00000004106	c
1:16335744-16356103:+	5	ENSSSCG00000004104	c
