gene_ID_ssc gene_ID_oar
ENSSSCG00000000002 ENSOARG00000002104
ENSSSCG00000000002 ENSOARG00000019455
ENSSSCG00000000003 ENSOARG00000019450
ENSSSCG00000000005 ENSOARG00000019442
ENSSSCG00000000006 ENSOARG00000019427
ENSSSCG00000000007 ENSOARG00000019475
ENSSSCG00000000010 ENSOARG00000019404
ENSSSCG00000000014 ENSOARG00000019370
ENSSSCG00000000018 ENSOARG00000019337
ENSSSCG00000000019 ENSOARG00000019323
ENSSSCG00000000020 ENSOARG00000019312
ENSSSCG00000000021 ENSOARG00000019304
ENSSSCG00000000024 ENSOARG00000019265
ENSSSCG00000000025 ENSOARG00000019286
ENSSSCG00000000026 ENSOARG00000019215
ENSSSCG00000000028 ENSOARG00000019214
ENSSSCG00000000029 ENSOARG00000019187
ENSSSCG00000000031 ENSOARG00000019125
ENSSSCG00000000033 ENSOARG00000019140
ENSSSCG00000000034 ENSOARG00000019154
ENSSSCG00000000035 ENSOARG00000019104
ENSSSCG00000000036 ENSOARG00000019085
ENSSSCG00000000037 ENSOARG00000019057
ENSSSCG00000000038 ENSOARG00000019024
ENSSSCG00000000039 ENSOARG00000018993
ENSSSCG00000000040 ENSOARG00000018800
ENSSSCG00000000045 ENSOARG00000018854
ENSSSCG00000000046 ENSOARG00000002664
ENSSSCG00000000046 ENSOARG00000018936
ENSSSCG00000000050 ENSOARG00000018845
ENSSSCG00000000058 ENSOARG00000018451
ENSSSCG00000000058 ENSOARG00000019697
ENSSSCG00000000059 ENSOARG00000009448
ENSSSCG00000000059 ENSOARG00000018400
ENSSSCG00000000061 ENSOARG00000018385
ENSSSCG00000000062 ENSOARG00000018326
ENSSSCG00000000063 ENSOARG00000018319
ENSSSCG00000000064 ENSOARG00000018307
ENSSSCG00000000066 ENSOARG00000018085
ENSSSCG00000000067 ENSOARG00000018130
ENSSSCG00000000068 ENSOARG00000017943
ENSSSCG00000000071 ENSOARG00000017728
ENSSSCG00000000072 ENSOARG00000017634
ENSSSCG00000000073 ENSOARG00000018114
ENSSSCG00000000073 ENSOARG00000018204
ENSSSCG00000000074 ENSOARG00000020388
ENSSSCG00000000075 ENSOARG00000017567
