gene_ID_ssc gene_ID_bta
ENSSSCG00000000002 ENSBTAG00000007102
ENSSSCG00000000003 ENSBTAG00000003017
ENSSSCG00000000005 ENSBTAG00000008065
ENSSSCG00000000006 ENSBTAG00000008063
ENSSSCG00000000007 ENSBTAG00000005595
ENSSSCG00000000010 ENSBTAG00000012088
ENSSSCG00000000014 ENSBTAG00000010590
ENSSSCG00000000018 ENSBTAG00000006776
ENSSSCG00000000019 ENSBTAG00000017652
ENSSSCG00000000020 ENSBTAG00000006973
ENSSSCG00000000021 ENSBTAG00000008858
ENSSSCG00000000022 ENSBTAG00000012425
ENSSSCG00000000024 ENSBTAG00000021978
ENSSSCG00000000025 ENSBTAG00000008057
ENSSSCG00000000026 ENSBTAG00000006273
ENSSSCG00000000028 ENSBTAG00000053264
ENSSSCG00000000029 ENSBTAG00000011275
ENSSSCG00000000031 ENSBTAG00000002413
ENSSSCG00000000033 ENSBTAG00000018073
ENSSSCG00000000034 ENSBTAG00000001708
ENSSSCG00000000035 ENSBTAG00000012030
ENSSSCG00000000036 ENSBTAG00000019290
ENSSSCG00000000037 ENSBTAG00000001057
ENSSSCG00000000038 ENSBTAG00000016516
ENSSSCG00000000039 ENSBTAG00000016511
ENSSSCG00000000040 ENSBTAG00000013173
ENSSSCG00000000045 ENSBTAG00000009509
ENSSSCG00000000046 ENSBTAG00000026501
ENSSSCG00000000046 ENSBTAG00000026502
ENSSSCG00000000050 ENSBTAG00000009506
ENSSSCG00000000058 ENSBTAG00000006104
ENSSSCG00000000059 ENSBTAG00000006103
ENSSSCG00000000061 ENSBTAG00000004009
ENSSSCG00000000062 ENSBTAG00000004004
ENSSSCG00000000063 ENSBTAG00000005311
ENSSSCG00000000064 ENSBTAG00000006429
ENSSSCG00000000066 ENSBTAG00000030222
ENSSSCG00000000067 ENSBTAG00000040106
ENSSSCG00000000068 ENSBTAG00000016198
ENSSSCG00000000071 ENSBTAG00000006202
ENSSSCG00000000072 ENSBTAG00000006200
ENSSSCG00000000073 ENSBTAG00000046820
ENSSSCG00000000074 ENSBTAG00000004048
ENSSSCG00000000075 ENSBTAG00000002630
ENSSSCG00000000076 ENSBTAG00000009624
ENSSSCG00000000077 ENSBTAG00000000077
ENSSSCG00000000078 ENSBTAG00000021076
ENSSSCG00000000079 ENSBTAG00000014247
ENSSSCG00000000080 ENSBTAG00000015157
ENSSSCG00000000081 ENSBTAG00000000326
ENSSSCG00000000082 ENSBTAG00000045610
ENSSSCG00000000084 ENSBTAG00000017462
ENSSSCG00000000087 ENSBTAG00000019828
ENSSSCG00000000091 ENSBTAG00000007755
ENSSSCG00000000092 ENSBTAG00000000109
ENSSSCG00000000093 ENSBTAG00000049822
ENSSSCG00000000094 ENSBTAG00000003693
ENSSSCG00000000095 ENSBTAG00000010324
ENSSSCG00000000097 ENSBTAG00000010157
ENSSSCG00000000103 ENSBTAG00000005936
ENSSSCG00000000104 ENSBTAG00000009887
ENSSSCG00000000105 ENSBTAG00000009886
ENSSSCG00000000106 ENSBTAG00000051965
ENSSSCG00000000107 ENSBTAG00000047582
ENSSSCG00000000108 ENSBTAG00000009668
ENSSSCG00000000110 ENSBTAG00000014015
ENSSSCG00000000111 ENSBTAG00000015290
ENSSSCG00000000113 ENSBTAG00000015275
ENSSSCG00000000114 ENSBTAG00000015268
ENSSSCG00000000116 ENSBTAG00000004820
ENSSSCG00000000117 ENSBTAG00000019563
ENSSSCG00000000118 ENSBTAG00000037703
ENSSSCG00000000119 ENSBTAG00000010790
ENSSSCG00000000120 ENSBTAG00000010789
ENSSSCG00000000121 ENSBTAG00000008857
ENSSSCG00000000130 ENSBTAG00000014237
ENSSSCG00000000131 ENSBTAG00000007259
ENSSSCG00000000132 ENSBTAG00000030652
ENSSSCG00000000133 ENSBTAG00000030650
ENSSSCG00000000135 ENSBTAG00000030646
ENSSSCG00000000136 ENSBTAG00000009064
ENSSSCG00000000137 ENSBTAG00000007531
ENSSSCG00000000138 ENSBTAG00000019159
ENSSSCG00000000139 ENSBTAG00000006213
ENSSSCG00000000139 ENSBTAG00000026657
ENSSSCG00000000141 ENSBTAG00000001988
ENSSSCG00000000142 ENSBTAG00000000015
ENSSSCG00000000144 ENSBTAG00000000014
ENSSSCG00000000145 ENSBTAG00000010402
ENSSSCG00000000146 ENSBTAG00000015988
ENSSSCG00000000148 ENSBTAG00000000667
ENSSSCG00000000151 ENSBTAG00000049066
ENSSSCG00000000152 ENSBTAG00000020125
ENSSSCG00000000156 ENSBTAG00000020634
ENSSSCG00000000157 ENSBTAG00000011071
ENSSSCG00000000158 ENSBTAG00000011070
ENSSSCG00000000159 ENSBTAG00000046402
ENSSSCG00000000160 ENSBTAG00000012999
ENSSSCG00000000161 ENSBTAG00000004654
ENSSSCG00000000162 ENSBTAG00000027064
ENSSSCG00000000164 ENSBTAG00000010149
ENSSSCG00000000167 ENSBTAG00000000147
ENSSSCG00000000169 ENSBTAG00000004781
ENSSSCG00000000171 ENSBTAG00000011913
ENSSSCG00000000174 ENSBTAG00000054993
ENSSSCG00000000175 ENSBTAG00000005464
ENSSSCG00000000176 ENSBTAG00000021810
ENSSSCG00000000179 ENSBTAG00000015825
ENSSSCG00000000182 ENSBTAG00000015347
ENSSSCG00000000183 ENSBTAG00000015364
ENSSSCG00000000184 ENSBTAG00000014424
ENSSSCG00000000185 ENSBTAG00000014426
ENSSSCG00000000186 ENSBTAG00000006557
ENSSSCG00000000188 ENSBTAG00000000124
ENSSSCG00000000189 ENSBTAG00000044048
ENSSSCG00000000190 ENSBTAG00000012244
ENSSSCG00000000195 ENSBTAG00000017864
ENSSSCG00000000197 ENSBTAG00000032567
ENSSSCG00000000198 ENSBTAG00000016398
ENSSSCG00000000199 ENSBTAG00000004660
ENSSSCG00000000202 ENSBTAG00000019281
ENSSSCG00000000203 ENSBTAG00000019277
ENSSSCG00000000204 ENSBTAG00000016589
ENSSSCG00000000205 ENSBTAG00000019283
ENSSSCG00000000206 ENSBTAG00000017504
ENSSSCG00000000209 ENSBTAG00000004851
ENSSSCG00000000212 ENSBTAG00000026813
ENSSSCG00000000214 ENSBTAG00000016296
ENSSSCG00000000215 ENSBTAG00000037935
ENSSSCG00000000216 ENSBTAG00000000970
ENSSSCG00000000217 ENSBTAG00000012784
ENSSSCG00000000220 ENSBTAG00000051039
ENSSSCG00000000223 ENSBTAG00000008897
ENSSSCG00000000228 ENSBTAG00000021339
ENSSSCG00000000231 ENSBTAG00000017113
ENSSSCG00000000232 ENSBTAG00000013843
ENSSSCG00000000233 ENSBTAG00000013555
ENSSSCG00000000234 ENSBTAG00000021658
ENSSSCG00000000235 ENSBTAG00000007145
ENSSSCG00000000236 ENSBTAG00000016121
ENSSSCG00000000238 ENSBTAG00000054953
ENSSSCG00000000239 ENSBTAG00000006739
ENSSSCG00000000239 ENSBTAG00000007144
ENSSSCG00000000239 ENSBTAG00000013720
ENSSSCG00000000239 ENSBTAG00000016166
ENSSSCG00000000240 ENSBTAG00000000400
ENSSSCG00000000241 ENSBTAG00000047872
ENSSSCG00000000248 ENSBTAG00000038384
ENSSSCG00000000249 ENSBTAG00000007904
ENSSSCG00000000250 ENSBTAG00000037638
ENSSSCG00000000251 ENSBTAG00000046089
ENSSSCG00000000252 ENSBTAG00000000836
ENSSSCG00000000253 ENSBTAG00000001517
ENSSSCG00000000257 ENSBTAG00000018993
ENSSSCG00000000258 ENSBTAG00000007592
ENSSSCG00000000259 ENSBTAG00000007829
ENSSSCG00000000260 ENSBTAG00000005623
ENSSSCG00000000261 ENSBTAG00000021467
ENSSSCG00000000262 ENSBTAG00000021464
ENSSSCG00000000263 ENSBTAG00000006904
ENSSSCG00000000264 ENSBTAG00000008933
