gene_ID_ssc	gene_ID_oar	homology_type
ENSSSCG00000018065	ENSOARG00000000006	ortholog_one2one
ENSSSCG00000018069	ENSOARG00000000010	ortholog_one2one
ENSSSCG00000018075	ENSOARG00000000016	ortholog_one2one
ENSSSCG00000018078	ENSOARG00000000019	ortholog_one2one
ENSSSCG00000018080	ENSOARG00000000021	ortholog_one2one
ENSSSCG00000018081	ENSOARG00000000022	ortholog_one2one
ENSSSCG00000018082	ENSOARG00000000023	ortholog_one2one
ENSSSCG00000018084	ENSOARG00000000025	ortholog_one2one
ENSSSCG00000018086	ENSOARG00000000027	ortholog_one2many
ENSSSCG00000018086	ENSOARG00000005798	ortholog_one2many
ENSSSCG00000018087	ENSOARG00000000028	ortholog_one2one
ENSSSCG00000018091	ENSOARG00000000032	ortholog_one2one
ENSSSCG00000018092	ENSOARG00000000033	ortholog_one2one
ENSSSCG00000018094	ENSOARG00000000035	ortholog_one2one
ENSSSCG00000037032	ENSOARG00000004966	ortholog_one2one
ENSSSCG00000032876	ENSOARG00000012339	ortholog_one2one
ENSSSCG00000033175	ENSOARG00000002482	ortholog_one2one
ENSSSCG00000015247	ENSOARG00000014934	ortholog_one2one
ENSSSCG00000008820	ENSOARG00000017000	ortholog_one2one
ENSSSCG00000016608	ENSOARG00000000633	ortholog_one2one
ENSSSCG00000007351	ENSOARG00000000644	ortholog_one2one
ENSSSCG00000001682	ENSOARG00000007104	ortholog_one2one
ENSSSCG00000007547	ENSOARG00000005826	ortholog_one2one
ENSSSCG00000034405	ENSOARG00000018558	ortholog_one2one
ENSSSCG00000012278	ENSOARG00000012877	ortholog_one2one
ENSSSCG00000009230	ENSOARG00000003468	ortholog_one2one
ENSSSCG00000005426	ENSOARG00000007283	ortholog_one2one
ENSSSCG00000009815	ENSOARG00000014992	ortholog_one2one
ENSSSCG00000005997	ENSOARG00000016790	ortholog_one2one
ENSSSCG00000034704	ENSOARG00000005569	ortholog_one2one
ENSSSCG00000002292	ENSOARG00000021168	ortholog_one2one
ENSSSCG00000014067	ENSOARG00000004968	ortholog_one2one
ENSSSCG00000015611	ENSOARG00000012524	ortholog_one2one
ENSSSCG00000029034	ENSOARG00000011503	ortholog_one2one
ENSSSCG00000039655	ENSOARG00000004850	ortholog_one2one
ENSSSCG00000008396	ENSOARG00000001966	ortholog_one2one
ENSSSCG00000013883	ENSOARG00000016092	ortholog_one2one
ENSSSCG00000012668	ENSOARG00000009619	ortholog_one2one
ENSSSCG00000038942	ENSOARG00000015340	ortholog_one2one
ENSSSCG00000029326	ENSOARG00000005759	ortholog_one2many
ENSSSCG00000029326	ENSOARG00000021023	ortholog_one2many
ENSSSCG00000029326	ENSOARG00000012913	ortholog_one2many
ENSSSCG00000039351	ENSOARG00000021169	ortholog_one2one
ENSSSCG00000045958	ENSOARG00000015362	ortholog_many2many
ENSSSCG00000045958	ENSOARG00000015377	ortholog_many2many
ENSSSCG00000045958	ENSOARG00000015351	ortholog_many2many
ENSSSCG00000003086	ENSOARG00000009473	ortholog_one2one
ENSSSCG00000017314	ENSOARG00000011226	ortholog_one2one
ENSSSCG00000010290	ENSOARG00000007254	ortholog_one2one
ENSSSCG00000003660	ENSOARG00000020060	ortholog_one2one
ENSSSCG00000024667	ENSOARG00000013561	ortholog_one2one
ENSSSCG00000006620	ENSOARG00000021017	ortholog_one2one
ENSSSCG00000002294	ENSOARG00000021170	ortholog_one2one
ENSSSCG00000027553	ENSOARG00000002301	ortholog_many2many
ENSSSCG00000027553	ENSOARG00000009216	ortholog_many2many
ENSSSCG00000027553	ENSOARG00000009254	ortholog_many2many
ENSSSCG00000008821	ENSOARG00000017174	ortholog_one2one
ENSSSCG00000029843	ENSOARG00000014247	ortholog_one2many
ENSSSCG00000029843	ENSOARG00000014105	ortholog_one2many
ENSSSCG00000014071	ENSOARG00000016614	ortholog_one2one
ENSSSCG00000007352	ENSOARG00000000998	ortholog_one2one
ENSSSCG00000000536	ENSOARG00000019623	ortholog_one2one
ENSSSCG00000015612	ENSOARG00000020948	ortholog_one2many
ENSSSCG00000015612	ENSOARG00000012720	ortholog_one2many
ENSSSCG00000037310	ENSOARG00000004743	ortholog_one2one
ENSSSCG00000045808	ENSOARG00000011457	ortholog_one2one
