gene_ID_bta gene_ID_oar
ENSBTAG00000000005 ENSOARG00000019041
ENSBTAG00000000008 ENSOARG00000013241
ENSBTAG00000000008 ENSOARG00000013257
ENSBTAG00000000009 ENSOARG00000011547
ENSBTAG00000000010 ENSOARG00000003725
ENSBTAG00000000011 ENSOARG00000015190
ENSBTAG00000000012 ENSOARG00000009358
ENSBTAG00000000013 ENSOARG00000009317
ENSBTAG00000000014 ENSOARG00000018848
ENSBTAG00000000015 ENSOARG00000018878
ENSBTAG00000000016 ENSOARG00000008484
ENSBTAG00000000019 ENSOARG00000008218
ENSBTAG00000000020 ENSOARG00000016942
ENSBTAG00000000022 ENSOARG00000015613
ENSBTAG00000000023 ENSOARG00000003573
ENSBTAG00000000024 ENSOARG00000003878
ENSBTAG00000000025 ENSOARG00000007994
ENSBTAG00000000026 ENSOARG00000012205
ENSBTAG00000000027 ENSOARG00000010478
ENSBTAG00000000029 ENSOARG00000010718
ENSBTAG00000000031 ENSOARG00000014606
ENSBTAG00000000032 ENSOARG00000006211
ENSBTAG00000000033 ENSOARG00000006175
ENSBTAG00000000037 ENSOARG00000006458
ENSBTAG00000000039 ENSOARG00000017788
ENSBTAG00000000040 ENSOARG00000017782
ENSBTAG00000000042 ENSOARG00000017754
ENSBTAG00000000044 ENSOARG00000000164
ENSBTAG00000000046 ENSOARG00000003657
ENSBTAG00000000049 ENSOARG00000012050
ENSBTAG00000000050 ENSOARG00000005361
ENSBTAG00000000052 ENSOARG00000011381
ENSBTAG00000000053 ENSOARG00000006499
ENSBTAG00000000054 ENSOARG00000004360
ENSBTAG00000000056 ENSOARG00000013434
ENSBTAG00000000057 ENSOARG00000003894
ENSBTAG00000000060 ENSOARG00000003528
ENSBTAG00000000061 ENSOARG00000009059
ENSBTAG00000000062 ENSOARG00000017758
ENSBTAG00000000064 ENSOARG00000015633
ENSBTAG00000000065 ENSOARG00000018357
ENSBTAG00000000066 ENSOARG00000018440
ENSBTAG00000000067 ENSOARG00000015835
ENSBTAG00000000070 ENSOARG00000014258
ENSBTAG00000000071 ENSOARG00000009116
ENSBTAG00000000072 ENSOARG00000004242
ENSBTAG00000000072 ENSOARG00000020149
ENSBTAG00000000073 ENSOARG00000013363
ENSBTAG00000000074 ENSOARG00000008860
ENSBTAG00000000076 ENSOARG00000011660
ENSBTAG00000000077 ENSOARG00000017303
ENSBTAG00000000078 ENSOARG00000008996
ENSBTAG00000000078 ENSOARG00000011628
ENSBTAG00000000079 ENSOARG00000003038
ENSBTAG00000000080 ENSOARG00000011758
ENSBTAG00000000081 ENSOARG00000016752
ENSBTAG00000000082 ENSOARG00000011788
ENSBTAG00000000084 ENSOARG00000008516
ENSBTAG00000000085 ENSOARG00000003346
ENSBTAG00000000087 ENSOARG00000000948
ENSBTAG00000000088 ENSOARG00000018737
ENSBTAG00000000090 ENSOARG00000015062
ENSBTAG00000000091 ENSOARG00000015378
ENSBTAG00000000092 ENSOARG00000015423
ENSBTAG00000000094 ENSOARG00000002611
ENSBTAG00000000094 ENSOARG00000007523
ENSBTAG00000000097 ENSOARG00000002745
ENSBTAG00000000098 ENSOARG00000020880
ENSBTAG00000000099 ENSOARG00000020883
ENSBTAG00000000102 ENSOARG00000016114
ENSBTAG00000000103 ENSOARG00000000706
ENSBTAG00000000105 ENSOARG00000004885
ENSBTAG00000000106 ENSOARG00000004672
ENSBTAG00000000109 ENSOARG00000016145
ENSBTAG00000000111 ENSOARG00000020061
ENSBTAG00000000113 ENSOARG00000005093
ENSBTAG00000000115 ENSOARG00000020041
ENSBTAG00000000118 ENSOARG00000006961
ENSBTAG00000000120 ENSOARG00000003140
ENSBTAG00000000123 ENSOARG00000020398
ENSBTAG00000000124 ENSOARG00000001635
ENSBTAG00000000124 ENSOARG00000001640
ENSBTAG00000000125 ENSOARG00000017222
ENSBTAG00000000128 ENSOARG00000003578
ENSBTAG00000000130 ENSOARG00000014243
ENSBTAG00000000131 ENSOARG00000014311
ENSBTAG00000000132 ENSOARG00000014476
ENSBTAG00000000133 ENSOARG00000014729
ENSBTAG00000000134 ENSOARG00000014787
ENSBTAG00000000137 ENSOARG00000017797
ENSBTAG00000000138 ENSOARG00000005904
ENSBTAG00000000139 ENSOARG00000003774
ENSBTAG00000000140 ENSOARG00000017468
ENSBTAG00000000141 ENSOARG00000019804
ENSBTAG00000000144 ENSOARG00000017877
ENSBTAG00000000145 ENSOARG00000003165
ENSBTAG00000000146 ENSOARG00000003037
ENSBTAG00000000147 ENSOARG00000017726
ENSBTAG00000000149 ENSOARG00000019268
ENSBTAG00000000152 ENSOARG00000000558
ENSBTAG00000000153 ENSOARG00000005176
ENSBTAG00000000154 ENSOARG00000010427
ENSBTAG00000000157 ENSOARG00000000737
ENSBTAG00000000160 ENSOARG00000011128
ENSBTAG00000000161 ENSOARG00000015384
ENSBTAG00000000162 ENSOARG00000007129
ENSBTAG00000000163 ENSOARG00000007154
ENSBTAG00000000164 ENSOARG00000009889
ENSBTAG00000000169 ENSOARG00000018979
ENSBTAG00000000170 ENSOARG00000013518
ENSBTAG00000000172 ENSOARG00000005886
ENSBTAG00000000175 ENSOARG00000012505
ENSBTAG00000000176 ENSOARG00000000469
ENSBTAG00000000177 ENSOARG00000013999
ENSBTAG00000000179 ENSOARG00000014254
ENSBTAG00000000181 ENSOARG00000008136
ENSBTAG00000000182 ENSOARG00000005552
ENSBTAG00000000184 ENSOARG00000020774
ENSBTAG00000000185 ENSOARG00000016979
ENSBTAG00000000186 ENSOARG00000003310
ENSBTAG00000000188 ENSOARG00000009451
ENSBTAG00000000189 ENSOARG00000008266
ENSBTAG00000000189 ENSOARG00000008278
ENSBTAG00000000191 ENSOARG00000016084
ENSBTAG00000000195 ENSOARG00000003634
ENSBTAG00000000197 ENSOARG00000015119
ENSBTAG00000000198 ENSOARG00000020417
ENSBTAG00000000199 ENSOARG00000008216
ENSBTAG00000000201 ENSOARG00000014634
ENSBTAG00000000202 ENSOARG00000010679
ENSBTAG00000000203 ENSOARG00000005993
ENSBTAG00000000204 ENSOARG00000005984
ENSBTAG00000000205 ENSOARG00000005449
ENSBTAG00000000205 ENSOARG00000005452
ENSBTAG00000000207 ENSOARG00000009494
ENSBTAG00000000210 ENSOARG00000019707
ENSBTAG00000000211 ENSOARG00000010121
ENSBTAG00000000212 ENSOARG00000002033
ENSBTAG00000000213 ENSOARG00000019724
ENSBTAG00000000214 ENSOARG00000009041
ENSBTAG00000000215 ENSOARG00000001850
ENSBTAG00000000218 ENSOARG00000018353
ENSBTAG00000000219 ENSOARG00000020802
ENSBTAG00000000221 ENSOARG00000003469
ENSBTAG00000000222 ENSOARG00000003481
ENSBTAG00000000223 ENSOARG00000006389
ENSBTAG00000000224 ENSOARG00000005596
ENSBTAG00000000225 ENSOARG00000003314
ENSBTAG00000000226 ENSOARG00000003350
ENSBTAG00000000229 ENSOARG00000003175
ENSBTAG00000000231 ENSOARG00000000651
ENSBTAG00000000232 ENSOARG00000006555
ENSBTAG00000000233 ENSOARG00000006540
ENSBTAG00000000236 ENSOARG00000018661
ENSBTAG00000000238 ENSOARG00000017298
ENSBTAG00000000240 ENSOARG00000013910
ENSBTAG00000000241 ENSOARG00000012204
ENSBTAG00000000242 ENSOARG00000017342
ENSBTAG00000000243 ENSOARG00000000791
ENSBTAG00000000244 ENSOARG00000008047
ENSBTAG00000000245 ENSOARG00000000810
ENSBTAG00000000246 ENSOARG00000004257
ENSBTAG00000000250 ENSOARG00000002946
ENSBTAG00000000251 ENSOARG00000006271
ENSBTAG00000000252 ENSOARG00000006255
ENSBTAG00000000252 ENSOARG00000018533
ENSBTAG00000000253 ENSOARG00000000454
ENSBTAG00000000256 ENSOARG00000012299
ENSBTAG00000000257 ENSOARG00000013397
ENSBTAG00000000259 ENSOARG00000019545
ENSBTAG00000000260 ENSOARG00000008301
ENSBTAG00000000261 ENSOARG00000017896
ENSBTAG00000000264 ENSOARG00000008929
ENSBTAG00000000265 ENSOARG00000011630
ENSBTAG00000000266 ENSOARG00000016210
ENSBTAG00000000267 ENSOARG00000015076
ENSBTAG00000000269 ENSOARG00000013129
ENSBTAG00000000271 ENSOARG00000020878
ENSBTAG00000000273 ENSOARG00000008664
ENSBTAG00000000274 ENSOARG00000015868
ENSBTAG00000000275 ENSOARG00000010367
ENSBTAG00000000277 ENSOARG00000016193
ENSBTAG00000000278 ENSOARG00000014641
ENSBTAG00000000279 ENSOARG00000017671
ENSBTAG00000000281 ENSOARG00000003004
ENSBTAG00000000283 ENSOARG00000019349
ENSBTAG00000000284 ENSOARG00000003268
ENSBTAG00000000285 ENSOARG00000015231
ENSBTAG00000000286 ENSOARG00000019300
ENSBTAG00000000287 ENSOARG00000015046
ENSBTAG00000000288 ENSOARG00000014587
ENSBTAG00000000289 ENSOARG00000019288
ENSBTAG00000000290 ENSOARG00000020665
ENSBTAG00000000291 ENSOARG00000014833
ENSBTAG00000000292 ENSOARG00000014581
ENSBTAG00000000295 ENSOARG00000002758
ENSBTAG00000000296 ENSOARG00000002831
ENSBTAG00000000297 ENSOARG00000012172
ENSBTAG00000000300 ENSOARG00000018125
ENSBTAG00000000301 ENSOARG00000019776
ENSBTAG00000000305 ENSOARG00000014936
ENSBTAG00000000306 ENSOARG00000011171
ENSBTAG00000000308 ENSOARG00000009759
ENSBTAG00000000309 ENSOARG00000002824
ENSBTAG00000000309 ENSOARG00000003072
ENSBTAG00000000310 ENSOARG00000001968
ENSBTAG00000000312 ENSOARG00000015553
ENSBTAG00000000313 ENSOARG00000007459
ENSBTAG00000000315 ENSOARG00000007428
ENSBTAG00000000317 ENSOARG00000002525
ENSBTAG00000000320 ENSOARG00000009334
ENSBTAG00000000321 ENSOARG00000012447
ENSBTAG00000000322 ENSOARG00000011675
ENSBTAG00000000326 ENSOARG00000017027
ENSBTAG00000000328 ENSOARG00000019694
ENSBTAG00000000329 ENSOARG00000017856
ENSBTAG00000000330 ENSOARG00000013087
ENSBTAG00000000332 ENSOARG00000008020
ENSBTAG00000000333 ENSOARG00000013551
ENSBTAG00000000335 ENSOARG00000000365
ENSBTAG00000000336 ENSOARG00000000546
ENSBTAG00000000336 ENSOARG00000002294
ENSBTAG00000000340 ENSOARG00000013868
ENSBTAG00000000341 ENSOARG00000016981
ENSBTAG00000000342 ENSOARG00000015057
ENSBTAG00000000343 ENSOARG00000015003
ENSBTAG00000000344 ENSOARG00000009852
ENSBTAG00000000345 ENSOARG00000014939
ENSBTAG00000000354 ENSOARG00000018382
ENSBTAG00000000355 ENSOARG00000018364
ENSBTAG00000000356 ENSOARG00000018332
ENSBTAG00000000357 ENSOARG00000009901
ENSBTAG00000000357 ENSOARG00000009903
ENSBTAG00000000359 ENSOARG00000003638
ENSBTAG00000000362 ENSOARG00000003712
ENSBTAG00000000363 ENSOARG00000005347
ENSBTAG00000000365 ENSOARG00000005997
ENSBTAG00000000368 ENSOARG00000017429
ENSBTAG00000000369 ENSOARG00000020622
ENSBTAG00000000371 ENSOARG00000018151
ENSBTAG00000000372 ENSOARG00000018169
ENSBTAG00000000374 ENSOARG00000020300
ENSBTAG00000000375 ENSOARG00000009018
ENSBTAG00000000376 ENSOARG00000009123
ENSBTAG00000000377 ENSOARG00000012224
ENSBTAG00000000377 ENSOARG00000012887
ENSBTAG00000000379 ENSOARG00000020337
ENSBTAG00000000381 ENSOARG00000012965
ENSBTAG00000000382 ENSOARG00000006411
ENSBTAG00000000385 ENSOARG00000005939
ENSBTAG00000000387 ENSOARG00000013728
ENSBTAG00000000389 ENSOARG00000000213
ENSBTAG00000000390 ENSOARG00000010453
ENSBTAG00000000392 ENSOARG00000007094
ENSBTAG00000000393 ENSOARG00000019951
ENSBTAG00000000394 ENSOARG00000010129
ENSBTAG00000000395 ENSOARG00000019717
ENSBTAG00000000396 ENSOARG00000014364
ENSBTAG00000000397 ENSOARG00000006755
ENSBTAG00000000399 ENSOARG00000008043
ENSBTAG00000000400 ENSOARG00000017098
ENSBTAG00000000401 ENSOARG00000006039
ENSBTAG00000000404 ENSOARG00000006137
ENSBTAG00000000405 ENSOARG00000008543
ENSBTAG00000000406 ENSOARG00000006123
ENSBTAG00000000409 ENSOARG00000010098
ENSBTAG00000000410 ENSOARG00000001951
ENSBTAG00000000411 ENSOARG00000018265
ENSBTAG00000000415 ENSOARG00000006023
ENSBTAG00000000417 ENSOARG00000018221
ENSBTAG00000000418 ENSOARG00000017615
ENSBTAG00000000419 ENSOARG00000016361
ENSBTAG00000000421 ENSOARG00000015811
ENSBTAG00000000422 ENSOARG00000004555
ENSBTAG00000000423 ENSOARG00000007759
ENSBTAG00000000425 ENSOARG00000014104
ENSBTAG00000000428 ENSOARG00000010067
ENSBTAG00000000429 ENSOARG00000002945
ENSBTAG00000000432 ENSOARG00000019445
ENSBTAG00000000434 ENSOARG00000015194
ENSBTAG00000000435 ENSOARG00000016437
ENSBTAG00000000436 ENSOARG00000000569
ENSBTAG00000000438 ENSOARG00000007526
ENSBTAG00000000439 ENSOARG00000014314
ENSBTAG00000000440 ENSOARG00000016991
ENSBTAG00000000442 ENSOARG00000003236
ENSBTAG00000000445 ENSOARG00000003335
ENSBTAG00000000446 ENSOARG00000007391
ENSBTAG00000000447 ENSOARG00000003477
ENSBTAG00000000448 ENSOARG00000020383
ENSBTAG00000000451 ENSOARG00000005079
ENSBTAG00000000454 ENSOARG00000019371
ENSBTAG00000000455 ENSOARG00000005058
ENSBTAG00000000456 ENSOARG00000005319
ENSBTAG00000000457 ENSOARG00000015229
ENSBTAG00000000458 ENSOARG00000002145
ENSBTAG00000000460 ENSOARG00000004896
ENSBTAG00000000462 ENSOARG00000000394
ENSBTAG00000000470 ENSOARG00000002944
ENSBTAG00000000472 ENSOARG00000005408
ENSBTAG00000000473 ENSOARG00000015932
ENSBTAG00000000475 ENSOARG00000015999
ENSBTAG00000000476 ENSOARG00000020581
ENSBTAG00000000477 ENSOARG00000005017
ENSBTAG00000000480 ENSOARG00000009861
ENSBTAG00000000483 ENSOARG00000009664
ENSBTAG00000000484 ENSOARG00000009614
ENSBTAG00000000489 ENSOARG00000012640
ENSBTAG00000000490 ENSOARG00000012652
ENSBTAG00000000492 ENSOARG00000016379
ENSBTAG00000000494 ENSOARG00000007210
ENSBTAG00000000495 ENSOARG00000011033
ENSBTAG00000000497 ENSOARG00000001793
ENSBTAG00000000500 ENSOARG00000015141
ENSBTAG00000000501 ENSOARG00000016826
ENSBTAG00000000502 ENSOARG00000015474
ENSBTAG00000000504 ENSOARG00000014979
ENSBTAG00000000505 ENSOARG00000015053
ENSBTAG00000000507 ENSOARG00000017214
ENSBTAG00000000510 ENSOARG00000017204
ENSBTAG00000000511 ENSOARG00000003967
ENSBTAG00000000512 ENSOARG00000007828
ENSBTAG00000000516 ENSOARG00000012268
ENSBTAG00000000517 ENSOARG00000007830
ENSBTAG00000000518 ENSOARG00000000868
ENSBTAG00000000520 ENSOARG00000007555
ENSBTAG00000000521 ENSOARG00000008417
ENSBTAG00000000522 ENSOARG00000020528
ENSBTAG00000000524 ENSOARG00000011405
ENSBTAG00000000526 ENSOARG00000008582
ENSBTAG00000000527 ENSOARG00000015151
ENSBTAG00000000528 ENSOARG00000017869
ENSBTAG00000000529 ENSOARG00000015162
ENSBTAG00000000531 ENSOARG00000005851
ENSBTAG00000000532 ENSOARG00000020265
ENSBTAG00000000533 ENSOARG00000020268
ENSBTAG00000000534 ENSOARG00000014922
ENSBTAG00000000535 ENSOARG00000003366
ENSBTAG00000000536 ENSOARG00000014938
ENSBTAG00000000539 ENSOARG00000009881
ENSBTAG00000000540 ENSOARG00000018197
ENSBTAG00000000541 ENSOARG00000008021
ENSBTAG00000000542 ENSOARG00000002309
ENSBTAG00000000542 ENSOARG00000004742
ENSBTAG00000000545 ENSOARG00000002292
ENSBTAG00000000546 ENSOARG00000004446
ENSBTAG00000000548 ENSOARG00000004950
ENSBTAG00000000550 ENSOARG00000011366
ENSBTAG00000000551 ENSOARG00000009500
ENSBTAG00000000552 ENSOARG00000020212
ENSBTAG00000000555 ENSOARG00000014707
ENSBTAG00000000558 ENSOARG00000008435
ENSBTAG00000000559 ENSOARG00000007141
ENSBTAG00000000560 ENSOARG00000018207
ENSBTAG00000000561 ENSOARG00000005551
ENSBTAG00000000562 ENSOARG00000003459
ENSBTAG00000000563 ENSOARG00000001031
ENSBTAG00000000565 ENSOARG00000020885
ENSBTAG00000000566 ENSOARG00000020205
