junc_ratio	gene_id	circ_type	ssc_liver_1	ssc_liver_10	ssc_liver_2	ssc_liver_3	ssc_liver_4	ssc_liver_5	ssc_liver_6	ssc_liver_7	ssc_liver_8	ssc_liver_9	ssc_muscle_1	ssc_muscle_2	ssc_muscle_3	ssc_muscle_4	ssc_testis_1	ssc_testis_10	ssc_testis_2	ssc_testis_3	ssc_testis_4	ssc_testis_5	ssc_testis_6	ssc_testis_7	ssc_testis_8	ssc_testis_9
14:85602428|85620168	ENSSSCG00000010351	exon	0.0	0.0	0.0	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.207	0.0	0.03	0.04	0.018	0.029	0.0	0.015	0.018	0.0
7:96665901|96758371	ENSSSCG00000022178	exon	0.0	0.0	0.0	0.0	0.221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.094	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0
4:1714924|1722888	ENSSSCG00000036022	exon	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.769	0.0	0.462	0.296	0.2	0.0	0.0	0.286	0.071	0.0
2:8374975|8390219	ENSSSCG00000013054	exon	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.102	0.0	0.016	0.005	0.025	0.022	0.076	0.005	0.0	0.0
5:82037014|82056857	ENSSSCG00000000859	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.444	0.0	0.154	0.121	0.0	0.022	0.0	0.102	0.0	0.0
6:34513016|34518902	ENSSSCG00000021644	exon	1.0	0.0	0.0	0.0	0.0	0.174	0.0	1.0	0.062	0.049	0.0	0.0	0.082	0.0	0.2	0.0	0.06	1.0	0.041	1.0	0.057	0.036	0.059	0.0
X:39036989|39047521	ENSSSCG00000023215	exon	0.009	0.002	0.066	0.061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.286	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6:72260976|72274749	ENSSSCG00000003438	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.157	0.0	0.025	0.016	0.045	0.056	0.115	0.0	0.0	0.0
6:129230645|129238963	ENSSSCG00000029882	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.079	0.0	0.047	0.0	0.037	1.0	0.0	0.0
X:101530588|101536227	ENSSSCG00000012642	exon	0.047	0.0	0.0	0.0	0.067	0.0	0.0	0.0	0.0	0.0	0.0	0.266	0.279	0.055	0.269	0.031	0.02	0.03	0.0	0.0	0.048	0.041	0.028	0.0
18:9247778|9250032	ENSSSCG00000016497	exon	0.0	0.0	0.167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.138	0.0	0.0	0.0	0.0	0.029	0.0	0.0
18:10392308|10396802	ENSSSCG00000016510	exon	0.0	0.0	0.0	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066	0.05	0.014	0.0	0.0	0.018	0.014	0.034	0.092
2:86888163|86910939	ENSSSCG00000014101	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.296	0.0	0.031	0.031	1.0	0.025	0.006	0.0	0.013	0.0
2:40861837|40864628	ENSSSCG00000013367	exon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048	0.0	0.025	0.009	0.007	0.0	0.013	0.006	0.0	0.0
13:133033025|133052271	ENSSSCG00000011833	exon	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.143	0.0	1.0	0.222	0.0	0.029
10:23313239|23321391	ENSSSCG00000027314	exon	0.286	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.182	0.0	1.0	0.025	0.034	0.024	0.035	0.032	0.054	0.0	0.0	0.0
